word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
yeti,An unidentified humanoid animal said to live in the Himalayas,/ˈjɛ.ti/,The legendary ____ is said to roam the Himalayan mountains.,"From Tibetan yeh-teh, meaning rock bear or man-bear",Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
yippee,Used to express joy or elation.,/ˌjɪ.ˈpi/,"The children shouted ""____ "" when school was cancelled.","Exclamation of joy, popularized in American West",Claude,Dictionary API,Dictionary API,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yoga,Any of several Hindu or Buddhist disciplines aimed at training the consciousness for a state of perfect spiritual insight and tranquillity; especially a system of exercises practiced to promote control of the body and mind.,/ˈjoʊɡə/,She practiced ____ every morning to improve flexibility.,"From Sanskrit yoga, meaning union or joining",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
yolks,"The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.",/jəʊks/,The recipe called for separating egg whites from ____.,"Plural of yolk, from Old English geolca meaning yellow part",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
yonder,To that place.,/ˈjɒndə(ɹ)/,The treasure lies buried somewhere over ____.,"From Middle English yonder, meaning at a distance",Claude,Dictionary API,Dictionary API,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yore,A time long past.,/jɔː/,"In days of ____, knights rode horses into battle.","From Old English geara, meaning years or time past",Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
yorkshire,,,The ____ pudding was a traditional English dish.,"From Old English Eoforwic, meaning boar settlement",Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yoruba,,,The ____ people have a rich cultural heritage in Nigeria.,From the name of the ethnic group in West Africa,Claude,,,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
yosenabe,,,The Japanese ____ hot pot contained fresh vegetables and seafood.,From Japanese yose (gather) + nabe (pot),Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
young,"People who are young; young people, collectively; youth.",/jʌŋ/,The ____ artist showed remarkable talent.,"From Old English geong, meaning not old",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
