word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
cioppino,"A fish stew originating in San Francisco, typically containing various seafood such as clams, mussels, crab, and fish in a tomato-wine base.","The fisherman's _____ contained fresh crab, mussels, and tender pieces of halibut.",Three Bee,,,,,3.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 2.81),noun,chuh-PEE-noh (emphasis on second syllable),"From Italian ""ciuppin"", a Ligurian fish stew, brought to San Francisco by Italian fishermen",Claude,"Think ""chop-ino"" - chopping up seafood for an Italian stew",,Italian (Ligurian dialect),Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
circadian,"Relating to biological processes that recur naturally on a twenty-four-hour cycle, especially sleep-wake patterns and hormone production.","Jet lag disrupts your natural _____ rhythm, making it difficult to sleep at night.",One Bee,,,,,3.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.61),adjective,ser-KAY-dee-uhn (emphasis on second syllable),"From Latin ""circa"" (about) + ""dies"" (day), literally meaning ""about a day""",Claude,"Think ""circle-adian"" - biological cycles that circle around each day",,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
circle,A round shape with all points equidistant from the center; a group of people with shared interests; to move around something.,The children sat in a _____ to listen to the storyteller.,One Bee,,,,,4.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.66),"noun, verb",SUR-kuhl (emphasis on first syllable),"From Latin ""circulus"", diminutive of ""circus"" (ring)",Claude,Think of drawing a perfect round shape with a compass,,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2024, 2025)",2025-08-19
circuitous,Taking a longer route than necessary; roundabout or indirect in speech or behavior; unnecessarily complicated.,The politician gave a _____ answer that avoided addressing the real question.,One Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),adjective,ser-KYOO-ih-tuhs (emphasis on second syllable),"From Latin ""circuitus"" (a going around), from ""circuire"" (to go around)",Claude,"Think ""circuit-ous"" - like taking a long electrical circuit instead of a direct path",,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2022, 2023, 2025)",2025-08-19
circuitouscircumflex,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""circuitous"" (roundabout) + ""circumflex"" (accent mark).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""circuitous"" and ""circumflex""",circuitous + circumflex (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
circuitousveracity,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""circuitous"" (roundabout) + ""veracity"" (truthfulness).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""circuitous"" and ""veracity""",circuitous + veracity (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
circumflex,"A diacritical mark (^) placed over a vowel in some languages to indicate pronunciation, length, or stress; in anatomy, curved or bending around.","The French word ""château"" features a _____ accent over the ""a"" in the second syllable.",One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),"noun, adjective",SUR-kuhm-fleks (emphasis on first syllable),"From Latin ""circumflexus"", from ""circum"" (around) + ""flectere"" (to bend)",Claude,"Think ""circum-flex"" - bending around like the curved accent mark ^",,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2025)",2025-08-19
circumscribe,To draw a line around; to restrict or limit the range or activity of something; to surround or encompass.,The new regulations will _____ the company's ability to expand overseas.,One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),verb,SUR-kuhm-skryb (emphasis on first syllable),"From Latin ""circumscribere"", from ""circum"" (around) + ""scribere"" (to write)",Claude,"Think ""circum-scribe"" - writing or drawing around something to contain it",,Latin,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
circumspectlythe,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""circumspectly"" (cautiously) + ""the"" (definite article).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""circumspectly"" and ""the""",circumspectly + the (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
circus,"A traveling entertainment show featuring acrobats, clowns, and trained animals; a situation of noisy confusion; in ancient Rome, an arena for chariot races.",The traveling _____ set up its big top tent in the empty field outside town.,Two Bee,,,,,3.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.36),noun,SUR-kuhs (emphasis on first syllable),"From Latin ""circus"" (ring, circular arena)",Claude,Think of the circular ring where circus performers entertain audiences,,Latin,Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
