word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transcription_score,frequency_score,morphological_score,etymology_score,final_difficulty,definition_source,pronunciation_source,etymology_source,example_sentence_source,memory_tip_source,audio_file,difficulty_level,difficulty_source,years,source_files,source_difficulties,scripps_difficulty
gushedchina,"This appears to be a combined word error where ""gushed"" (flowed forth rapidly or spoke with great enthusiasm) has been incorrectly merged with ""china"" (porcelain or the country). Gushed is the past tense of gush, meaning to flow out rapidly and in large quantities, or to speak with great enthusiasm or emotion. China can refer to fine porcelain ceramics, or to the People's Republic of China. This combination likely resulted from a PDF parsing error where two separate words were inadvertently joined together. The correct terms would be ""gushed"" referring to rapid flowing or enthusiastic speaking, and ""china"" referring to porcelain or the country.",combined word error,GUSHT-CHAHY-nuh,"Error: ""gushed"" (possibly imitative) + ""china"" (from Persian ""chīnī,"" meaning ""Chinese"")",Combined word error,"This appears to be a PDF parsing error combining ""gushed"" and ""china"" - the _______ should be treated as two separate words.","Remember ""GUSHEDCHINA"" - this is a combined word error, separate into GUSHED (flowed rapidly) + CHINA (porcelain or country).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gustatory,"Gustatory refers to the sense of taste or things related to tasting and flavor perception. This adjective describes anything connected to the physiological process of taste, including taste buds, flavor sensations, and the neural pathways involved in detecting and processing taste information. Gustatory experiences involve the five basic tastes: sweet, sour, salty, bitter, and umami (savory). The term is used in scientific, medical, and culinary contexts when discussing taste perception, flavor analysis, food science, or sensory evaluation. Gustatory memory refers to the ability to recall tastes and flavors from past experiences.",adjective,GUS-tuh-tor-ee,"From Latin ""gustare"" meaning ""to taste"" + ""-ory"" suffix meaning ""relating to.""",Latin,The chef's _______ memory was so refined that she could identify dozens of spices and herbs by taste alone.,"Remember ""GUSTATORY"" - GUSTo + TORY (relating to), relating to gusto and the sense of taste.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gusto,"Gusto refers to enthusiastic enjoyment, zest, or vigorous appreciation in doing something. When someone approaches an activity with gusto, they demonstrate energetic pleasure, hearty enthusiasm, and wholehearted engagement. The word suggests not just enjoyment but active, spirited participation that shows genuine relish and zeal. Gusto can apply to eating, working, performing, or any activity approached with energetic enthusiasm and evident pleasure. The term emphasizes the vigor and heartiness of the enjoyment rather than quiet satisfaction.",noun,GUS-toh,"From Italian ""gusto"" meaning ""taste,"" from Latin ""gustus"" meaning ""taste, flavor.""","Italian, Latin",She attacked the challenging crossword puzzle with such _______ that her enthusiasm was infectious to everyone around her.,"Remember ""GUSTO"" - GUSt of enthusiasm, a gust of wind-like enthusiasm and energetic enjoyment.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gutter,"Gutter has several meanings: it most commonly refers to a channel or trough designed to collect and direct rainwater away from buildings, typically found along the edges of roofs or streets. In printing, the gutter is the inner margin between pages in a bound book. In bowling, the gutter refers to the channels on either side of the lane where balls can fall. Metaphorically, ""gutter"" can describe the lowest or most degraded level of society or behavior. As a verb, to gutter means to burn unsteadily (as a candle) or to be on the verge of going out.","noun, verb",GUT-er,"From Old French ""gotiere,"" from ""goute"" meaning ""drop,"" from Latin ""gutta.""","Old French, Latin","The autumn leaves clogged the roof _______, causing water to overflow during the heavy rainstorm.","Remember ""GUTTER"" - GUTs water away, it guts (removes) water away from buildings by channeling it.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
guttural,"Guttural describes sounds produced in the throat, particularly harsh, rough, or throaty sounds that seem to come from deep in the vocal tract. In phonetics, guttural refers to consonant sounds articulated in the back of the mouth or throat area. More generally, guttural describes any sound, voice, or utterance that is deep, harsh, growling, or throat-like in quality. The term can describe human speech sounds, animal vocalizations, or any sound that seems to originate from the throat area. Guttural sounds often convey primitiveness, emotion, or physical strain.","adjective, noun",GUT-er-uhl,"From Medieval Latin ""gutturalis,"" from Latin ""guttur"" meaning ""throat.""","Medieval Latin, Latin",The actor's _______ growl perfectly conveyed the character's menacing and primitive nature.,"Remember ""GUTTURAL"" - GUTter + URAL (throat area), sounds from the gutter of your throat, deep and rough.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gyascutus,"Gyascutus is a mythical creature from American folklore, particularly associated with tall tales and logging camps of the 19th and early 20th centuries. This legendary animal was described as resembling a large bear with legs that were shorter on one side than the other, supposedly adapted for walking around steep hillsides. According to the folklore, the gyascutus could only walk in one direction around hills due to its uneven legs. The creature represents the tradition of tall tales and fabricated wildlife stories told for entertainment in logging camps, lumber towns, and frontier communities.",noun,JYE-as-kyoo-tuhs,"American folklore creation, possibly pseudo-Latin construction for humorous effect.",American folklore (pseudo-Latin),"The old lumberjack entertained the camp with stories of the elusive _______, a creature that could supposedly only walk around hills in one direction.","Remember ""GYASCUTUS"" - GYm class + SCUTUS (shield-like), a mythical gym-class-like creature with uneven legs like a lopsided shield.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gyascutusgyokuro,"This appears to be a combined word error where ""gyascutus"" (a mythical American folklore creature) has been incorrectly merged with ""gyokuro"" (a high-quality Japanese green tea). Gyascutus is a legendary creature from American tall tales with uneven legs, while gyokuro is a premium shade-grown Japanese tea known for its sweet, delicate flavor and bright green color. This combination likely resulted from a PDF parsing error where two completely unrelated terms were inadvertently joined together. The correct terms would be ""gyascutus"" referring to the mythical hillside creature, and ""gyokuro"" referring to the Japanese premium tea.",combined word error,JYE-as-kyoo-tuhs-GYOH-koo-roh,"Error: ""gyascutus"" (American folklore) + ""gyokuro"" (Japanese ""gyoku"" jewel + ""ro"" dew)",Combined word error,"This appears to be a PDF parsing error combining ""gyascutus"" and ""gyokuro"" - the _______ should be treated as two separate words.","Remember ""GYASCUTUSGYOKURO"" - this is a combined word error, separate into GYASCUTUS (mythical creature) + GYOKURO (Japanese tea).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gymnastics,"Gymnastics is a sport involving exercises and performances that require strength, flexibility, agility, coordination, and balance. This athletic discipline includes various apparatuses such as floor exercise, vault, uneven bars, balance beam, rings, parallel bars, and high bar. Gymnastics combines artistry with athleticism, featuring routines that showcase both technical skill and creative expression. The sport has ancient origins but modern competitive gymnastics includes artistic gymnastics, rhythmic gymnastics, trampoline, and tumbling. Gymnastics develops physical fitness, mental discipline, and body awareness while providing spectacular displays of human athletic capability.",noun,jim-NAS-tiks,"From Greek ""gymnastikos"" meaning ""fond of athletic exercises,"" from ""gymnazein"" meaning ""to exercise naked.""",Ancient Greek,"The young athlete dedicated hours daily to _______ training, developing the strength and grace needed for competition.","Remember ""GYMNASTICS"" - GYM + NASTICS (fantastic), fantastic gym exercises that require incredible skill and athleticism.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gyokuro,"Gyokuro is a premium type of Japanese green tea, considered one of the highest grades of tea in Japan. This tea is shade-grown for several weeks before harvest, which increases chlorophyll content and creates a sweet, delicate flavor with reduced astringency. The name literally means ""jade dew,"" referring to the tea's pale green color when brewed. Gyokuro is characterized by its umami-rich taste, sweet aroma, and vibrant green color. The tea requires careful preparation with lower water temperatures and specific brewing techniques to preserve its delicate flavor profile. It represents the pinnacle of Japanese tea craftsmanship.",noun,GYOH-koo-roh,"From Japanese ""gyoku"" meaning ""jewel, jade"" + ""ro"" meaning ""dew.""",Japanese,"The tea master carefully prepared the _______ using precise temperature and timing to bring out its characteristic sweet, umami flavor.","Remember ""GYOKURO"" - GYOku (jewel) + ro (dew), like jewel dew, the most precious Japanese tea that's like liquid jewels.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gypsophila,"Gypsophila is a genus of flowering plants commonly known as baby's breath, characterized by delicate, small white or pink flowers that create airy, cloud-like clusters. These perennial or annual plants are popular in floral arrangements due to their ability to provide texture and fill space between larger flowers. Gypsophila thrives in alkaline soils and is often found in rocky or sandy areas. The most common species, Gypsophila paniculata, produces masses of tiny flowers on branched stems. The name refers to the plant's preference for lime-rich (gypsum-containing) soils.",noun,jip-SOF-i-lah,"From Greek ""gypsos"" meaning ""gypsum"" + ""philos"" meaning ""loving,"" referring to its preference for lime-rich soils.",Ancient Greek,"The florist used delicate white _______ to create an airy, ethereal effect in the bridal bouquet.","Remember ""GYPSOPHILA"" - GYPSum + PHILA (loving), loving gypsum-rich soils where these delicate baby's breath flowers grow.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
