word,years,source_files,source_difficulties
emphysema,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
empire,2025,2025 Words of Champion _1_.pdf,Three Bee
empirical,2020,2020 Words_of_the_Champions.pdf,One Bee
emporium,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee
empty,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
emulate,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee
emulsify,2020; 2021; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee
emulsifylorikeet,2022; 2023,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,Two Bee
enal,2020,2020 Words_of_the_Champions.pdf,One Bee
enamel,2023,2023_Words_of_the_Champions.pdf,Two Bee
encarnadine,2021,2021_Printable_Words of the Champions.pdf,One Bee
encarnadinedulcinea,2020,2020 Words_of_the_Champions.pdf,One Bee
encephalitis,2020,2020 Words_of_the_Champions.pdf,One Bee
enchantment,2020,2020 Words_of_the_Champions.pdf,One Bee
encina,2020,2020 Words_of_the_Champions.pdf,One Bee
encomium,2025,2025 Words of Champion _1_.pdf,Three Bee
encompass,2023,2023_Words_of_the_Champions.pdf,Two Bee
