word,pronunciation,definition,etymology,memory_tip,example_sentence,language_origin,phonetic_transparency,frequency_score,morphological_complexity,etymology_complexity,source_difficulty,years,source_files,source_difficulties,difficulty_level,is_combined_error
spot,/spɑt/,"A small, round mark or stain differing in color or texture from the surface around it; a particular place or location; to notice or identify something. Spots can be natural markings like animal patterns, freckles on skin, or spots on playing cards. Physical spots might result from spills, dirt, or deliberate marking for identification purposes. Geographic spots refer to specific locations or points of interest. The verb 'to spot' means to notice or identify something, especially something small or partially hidden. Wildlife spotting involves identifying animals in their natural habitats. Spot checks are unscheduled inspections or examinations designed to ensure compliance or quality. Trouble spots identify areas of difficulty or concern requiring attention. Spot treatments address specific problems rather than broad applications. The word's versatility reflects its use across physical, geographic, and metaphorical contexts.","From Middle English 'spot,' possibly from Old Norse 'spotti' or related to Middle Dutch 'spotte' meaning speck or blot.",SPOT: A small mark you can easily SPOT or see,She found a small ink _____ on her white shirt after the meeting.,"Middle English, Old Norse",2,2,1,10,Multiple Bee levels,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,,False
spotted,/ˈspɑtəd/,"Having spots; marked with spots or patches of different colors; noticed or identified. Spotted animals include leopards, dalmatians, and many species of birds and fish that use spots for camouflage or identification. Spotted patterns serve various functions in nature including warning signals, mating displays, and predator confusion. The verb form means to have noticed or identified something, as in 'spotted the error in the document.' Spotted reputations refer to people with checkered or questionable histories marked by both good and bad behavior. Spotted fever describes diseases characterized by spotted rashes on the skin. Spotted patterns in textiles and design create visual interest through contrasting colors and irregular arrangements. The term suggests both physical marking and the act of observation or recognition across different contexts.","Past tense and past participle of 'spot,' from Middle English 'spot' with '-ed' suffix indicating completed action or state.",SPOTTED: Something that has been SPOTTED with marks or that you have SPOTTED with your eyes,The _____ owl blended perfectly with the tree bark patterns.,Middle English,4,6,3,10,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
sprawl,/sprɔl/,"To sit, lie, or fall with arms and legs spread out in an ungainly way; to spread out over a large area in an irregular or disorderly fashion. Urban sprawl describes the uncontrolled expansion of cities into surrounding areas, often creating low-density development that requires cars for transportation. People sprawl on furniture when relaxing in comfortable, unstructured positions. Plants sprawl when they grow in spreading patterns rather than upright forms. Suburban sprawl can lead to environmental problems, traffic congestion, and loss of farmland. The verb suggests lack of order or control, whether describing physical positions or geographic expansion. Sprawling cities consume more resources and create longer commutes than compact development. Sprawling handwriting appears loose and uncontrolled across the page. The concept often implies both relaxation and lack of efficiency or organization.","From Old English 'spreawlian' meaning to move convulsively, related to 'sprawl' meaning to stretch out. Connected to 'spread' and similar extending words.","SPRAWL: To SPREAD yourself out in a relaxed, disorganized way","After the long hike, he chose to _____ on the grass and rest.",Old English,3,4,1,8,One Bee,2020,2020 Words_of_the_Champions.pdf,One Bee,,False
spread,/sprɛd/,"To extend over a wider area; to distribute or apply something over a surface; the extent or range of something. Spreading involves expansion from a central point or distribution across available space. People spread butter on bread, spread news through communication, or spread their arms wide. Disease spread occurs when infections move from person to person or place to place. Spread can refer to the difference between two values, such as the spread between bid and ask prices in financial markets. Food spreads are substances like jam, peanut butter, or cream cheese applied to bread or crackers. Wings spread when birds prepare for flight or display territorial behavior. The word suggests both physical expansion and metaphorical distribution of ideas, influence, or effects across broader areas or populations.",From Old English 'sprǣdan' meaning to stretch out or extend. Related to German 'spreiten' and Dutch 'spreiden' with similar meanings.,SPREAD: To stretch and extend something out over a wider area,The wildfire began to _____ rapidly across the dry grassland.,Old English,3,4,1,8,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
spreading,/ˈsprɛdɪŋ/,"Present participle of spread; the action of extending, distributing, or expanding something over a wider area or among more people. Spreading involves ongoing processes of expansion or distribution across space or populations. Disease spreading concerns public health officials who work to contain outbreaks and prevent epidemics. Information spreading occurs through social networks, media, and word-of-mouth communication. Spreading rumors can damage reputations and relationships if the information proves false. Fire spreading requires immediate response from firefighters to prevent property damage and protect lives. Spreading costs refers to distributing expenses over time or among multiple parties. Spreading resources means allocating limited materials or personnel across various needs. The continuous form emphasizes the active, ongoing nature of expansion or distribution processes that require monitoring and potentially intervention to control or direct effectively.","Present participle form of 'spread,' from Old English 'sprǣdan' with '-ing' suffix indicating ongoing action.",SPREADING: The ongoing action of something SPREADING out wider and wider,The news was _____ quickly through social media channels.,Old English,6,8,4,8,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
spreadsheet,/ˈsprɛdˌʃit/,"A computer program or document that organizes data in rows and columns, allowing calculations, analysis, and data manipulation. Spreadsheets revolutionized business and personal data management by providing structured ways to organize, calculate, and visualize numerical information. Popular spreadsheet programs include Microsoft Excel, Google Sheets, and Apple Numbers. Users can create formulas that automatically calculate totals, averages, and complex mathematical operations. Spreadsheets support budgeting, financial planning, inventory tracking, project management, and data analysis across virtually every industry. Features include sorting, filtering, charting, and pivot tables that help users understand patterns in their data. Before computers, spreadsheets were large paper documents with rows and columns filled in by hand. Modern spreadsheets can link to databases, import real-time data, and share information across teams for collaborative analysis and decision-making.","Compound of 'spread' (extending across space) + 'sheet' (flat surface), originally referring to large paper accounting documents.",SPREADSHEET: A SHEET where data is SPREAD out in rows and columns,She used a _____ to track expenses and create the monthly budget report.,English compound,5,8,2,8,Multiple Bee levels,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,,False
sprechstimme,/ˈʃprɛxˌʃtɪmə/,"A vocal technique that combines speaking and singing, where the performer uses approximate pitches rather than exact musical notes; literally meaning 'speech-voice' in German. Sprechstimme was developed by Austrian composer Arnold Schoenberg in the early 20th century as part of his twelve-tone compositional technique. The technique requires performers to begin each note with the indicated pitch but immediately slide away rather than sustaining the exact tone. This creates an eerie, unsettling vocal quality that suggests both speech and song without being purely either. Schoenberg's 'Pierrot Lunaire' represents the most famous use of sprechstimme, creating dramatic, expressionistic effects that match the work's dark, psychological content. The technique influenced other composers and performers in classical, theatrical, and experimental music contexts. Modern performers still study sprechstimme for its unique expressive capabilities and historical importance in 20th-century music development.",German compound: 'sprechen' (to speak) + 'Stimme' (voice). Created by Arnold Schoenberg for his compositional technique around 1912.,SPRECHSTIMME: SPEECH + voice technique combining speaking and singing,The vocalist mastered _____ to perform Schoenberg's challenging contemporary piece.,German,8,8,3,8,Multiple Bee levels,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,,False
spree,/spri/,"A period of unrestrained activity or indulgence; an episode of excessive behavior, often involving spending, drinking, or other pleasurable activities. Shopping sprees involve buying many items in a short period, often beyond normal budgets or needs. Drinking sprees describe periods of excessive alcohol consumption that can lead to health and social problems. Crime sprees involve multiple criminal acts committed in succession by the same person or group. Spending sprees can result in financial difficulties if people purchase items impulsively without considering long-term consequences. Creative sprees might involve intense periods of artistic production where inspiration flows freely. The word suggests temporary abandonment of usual restraints or limitations in favor of immediate gratification or expression. While sprees can be enjoyable, they often require subsequent periods of restraint or recovery to restore balance and address any negative consequences of the excessive behavior.","Origin uncertain, possibly from Scots 'spreath' meaning cattle raid, or from 'spray' suggesting scattered, uncontrolled action.",SPREE: A period where you go FREE with spending or indulging,Her shopping _____ at the mall resulted in bags full of new clothes.,Uncertain (possibly Scots),1,4,1,7,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
sprightliness,/ˈspraɪtlinəs/,"The quality of being sprightly; liveliness, vivacity, and energetic cheerfulness; the state of being active and spirited despite advanced age or circumstances. Sprightliness suggests youthful energy and enthusiasm that defies expectations based on age or situation. Elderly people who maintain sprightliness inspire others through their continued vitality and positive outlook. Mental sprightliness involves quick wit, sharp thinking, and intellectual agility that keeps minds active and engaged. Physical sprightliness includes graceful movement, good coordination, and maintained strength that supports active lifestyles. The quality implies both physical and mental vitality that contributes to overall well-being and quality of life. Sprightliness can be cultivated through regular exercise, social engagement, intellectual challenges, and positive attitudes toward aging and change. The term suggests that energy and enthusiasm are choices that can be maintained regardless of external circumstances or chronological age.","From 'sprightly' (variant of 'spritelike,' meaning lively like a sprite) + suffix '-ness' indicating quality or state.",SPRIGHTLINESS: The quality of being SPRIGHTLY and full of lively energy,"Despite her age, her _____ made her the life of every social gathering.",English,6,8,5,8,Multiple Bee levels,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,,False
spring,/sprɪŋ/,"The season between winter and summer when plants begin to grow; to move suddenly or rapidly; a natural source of water; a coiled elastic device. Spring season brings warmer weather, longer daylight, and renewal of plant growth after winter dormancy. Animals spring into action when startled or hunting prey. Natural springs provide fresh water from underground sources that emerge at the surface. Mechanical springs store and release energy in devices from watches to automobile suspensions. The verb 'spring' suggests sudden, energetic movement or unexpected appearance. Spring cleaning traditionally involves thorough household maintenance as winter ends. Springs in mechanisms provide force, support weight, or return components to original positions. The word connects concepts of renewal, sudden movement, water sources, and mechanical devices through shared ideas of emergence, energy, and natural cycles.","From Old English 'spring' meaning to leap or burst forth, related to German 'springen.' All meanings derive from the basic sense of sudden emergence.","SPRING: Things SPRING up suddenly, like plants in spring or jumping movements","The natural _____ provided clear, cold water for the hiking group.",Old English,4,4,3,8,Multiple Bee levels,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,,False
