word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
colson,"A surname of English origin, historically referring to ""son of Cole"" or derived from the Old English personal name ""Col."" In educational contexts, it may also refer to Colson Whitehead, the acclaimed American novelist and journalist known for works like ""The Underground Railroad"" and ""The Intuitionist."" The name has gained prominence in American literature and cultural discourse through various notable bearers.",noun (proper name),COAL-sun (/ˈkoʊlsən/),"English surname meaning ""son of Cole,"" from Old English personal name ""Col"" + patronymic suffix ""-son""","Remember ""coal + son"" - like coal's son, or think of author Colson Whitehead",Coulson,Old English,The literary critic praised _____ for his masterful storytelling in contemporary American fiction.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
coltan,"A metallic ore consisting primarily of columbite and tantalite, essential for manufacturing electronic devices like smartphones, computers, and gaming consoles. This mineral contains tantalum and niobium, critical elements for capacitors and other electronic components. Most coltan is mined in the Democratic Republic of Congo, often under controversial conditions that have raised ethical concerns about conflict minerals in the electronics industry.",noun,KOL-tan (/ˈkɒltæn/),"Portmanteau of ""columbite"" and ""tantalite,"" the two main mineral components","Think ""col(umbite) + tan(talite)"" - the two minerals combined to form this crucial electronic ore",None commonly used,Modern English (mineralogy),The smartphone in your pocket likely contains _____ mined from Central African deposits.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
colubrine,"Relating to or characteristic of snakes, particularly those belonging to the family Colubridae, which includes most common non-venomous snakes. This scientific term describes snake-like qualities such as serpentine movement, elongated body form, or behavioral characteristics typical of colubrids. In zoological contexts, it specifically refers to the morphological and behavioral traits of this diverse snake family.",adjective,KOL-yuh-brine (/ˈkɒljʊbraɪn/),"From Latin ""colubrinus,"" meaning ""of or pertaining to a snake,"" from ""coluber"" (snake)","Connect to ""cobra"" - both relate to snakes, with ""colubrine"" describing snake-like characteristics",None,Latin,The biologist noted the _____ grace with which the garden snake moved through the grass.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
columbia,"A poetic and historical name for the United States of America, personified as a female figure representing American ideals and liberty. Named after Christopher Columbus, Columbia became a popular patriotic symbol in American art, literature, and culture from the 18th through early 20th centuries. The name also refers to various geographical locations, institutions, and the space shuttle program, embodying American exploration and achievement.",noun (proper name),kuh-LUM-bee-uh (/kəˈlʌmbiə/),"From Christopher Columbus, Latinized as ""Columba"" (dove), used poetically for America","Think ""Columbus + -ia"" - America named after Columbus, often shown as Lady Columbia",None,Latin (from Italian),The patriotic song praised _____ as the embodiment of American freedom and democracy.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.5,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
column,"A vertical structural element, typically cylindrical, that supports weight in architecture and construction. Columns transfer loads from above (such as roofs or upper floors) to the foundation below. In writing and journalism, a column refers to a regular feature or opinion piece by a specific author. Additionally, in data organization, a column represents a vertical arrangement of information in tables, spreadsheets, or databases.",noun,KOL-um (/ˈkɒləm/),"From Latin ""columna,"" meaning pillar or support post","Visualize a tall pillar supporting a building, or think of newspaper columns arranged vertically",None,Latin,The ancient Greek temple featured ornate Corinthian _____ supporting its marble roof.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
columns,"Plural form of column, referring to multiple vertical supports in architecture or multiple sections in printed material. In classical architecture, columns often appear in rows forming colonnades or porticos. In publishing, columns divide pages into vertical sections for easier reading. In data analysis, columns represent different variables or categories of information arranged vertically in spreadsheets or databases.",noun (plural),KOL-ums (/ˈkɒləmz/),"Plural of Latin ""columna,"" meaning pillars or support posts","Multiple pillars supporting a structure, or multiple vertical sections in a newspaper",None,Latin,The spreadsheet organized the financial data into clearly labeled _____ for easy analysis.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
comanchero,"A historical term for traders, primarily of Hispanic origin, who conducted commerce with Comanche Native Americans on the Great Plains during the 18th and 19th centuries. These traders operated along established trade routes, exchanging manufactured goods, weapons, and horses for buffalo hides, captives, and livestock. The comanchero trade system played a significant role in the economic and cultural interactions between different groups in the American Southwest.",noun,koh-man-CHEH-roh (/koʊmænˈtʃɛroʊ/),"Spanish, meaning ""one who trades with Comanches,"" from ""Comanche"" + Spanish suffix ""-ero""","Break down: ""Comanche"" (Native American tribe) + ""-ero"" (Spanish for ""one who does"") = trader with Comanches",Comancheros (plural),Spanish,The _____ arrived at the trading post with horses and buffalo hides from the Comanche bands.,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
combat,"Armed fighting or conflict between opposing forces, whether in military warfare, individual duels, or competitive sports. Combat involves direct engagement with an adversary using weapons, physical force, or strategic tactics. The term extends beyond military contexts to include fighting diseases, social problems, or any vigorous struggle against opposing forces. Modern combat encompasses various forms from traditional warfare to cyber warfare.","noun, verb","KOM-bat (noun), kum-BAT (verb) (/ˈkɒmbæt/, /kəmˈbæt/)","From Old French ""combattre,"" meaning ""to fight,"" from Latin ""com-"" (together) + ""battuere"" (to beat)","Think ""com- (together) + bat (beat)"" - opponents beating against each other together",None,Old French/Latin,The soldiers prepared for _____ while medics worked to _____ the spread of infection.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.5,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
combed,"Past tense of ""comb,"" meaning to have arranged, cleaned, or searched through systematically. When referring to hair, it means having used a comb to arrange strands neatly. In textile production, combed refers to fibers that have been straightened and aligned by combing processes. The term also means to have searched thoroughly through an area or material, as in ""combed the beach for shells.""",verb (past tense),KOHMD (/koʊmd/),"From Old English ""camb"" (comb) + past tense ending ""-ed""",Think of running a comb through hair to make it neat and orderly,None,Old English,She _____ her hair carefully before the important interview.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.5,2.0,1.5,2.0,,Claude,Claude,Claude,Claude
combination,"The result of combining two or more elements, substances, or concepts to create something new or unified. In mathematics, a combination refers to a selection of items where order does not matter. In everyday usage, it describes things joined together for a common purpose, such as a combination lock requiring specific numbers in sequence. The term emphasizes the synergistic effect of elements working together.",noun,kom-buh-NAY-shun (/ˌkɒmbɪˈneɪʃən/),"From Latin ""combinatio,"" from ""combinare"" (to combine), from ""com-"" (together) + ""bini"" (two by two)","Think ""combine + -ation"" - the act or result of combining things together",None,Latin,The chef's _____ of spices created an unexpectedly delicious flavor profile.,2020; 2021; 2022; 2023; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.8,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
