word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
phlebotomy,"The medical practice of drawing blood from patients for diagnostic testing, blood donation, or therapeutic treatment; the art and science of venipuncture.",The nurse performed _____ to collect blood samples for laboratory analysis.,One Bee,,,,,4.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 3.11),noun,fluh-BOT-uh-mee (emphasis on second syllable),"From Greek ""phlebos"" meaning ""vein"" + ""tomia"" meaning ""cutting""",Claude,"Think ""fleabotomy"" - cutting into veins like a flea bites for blood","venipuncture, bloodletting",Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
phlegmatic,"Having a calm, unemotional temperament; not easily excited or made angry; characterized by coolness and composure.","Despite the chaos around him, he remained _____ and focused on the task.",One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),adjective,fleg-MAT-ik (emphasis on second syllable),"From Greek ""phlegmatikos"", from ""phlegma"" meaning ""inflammation, mucus""",Claude,"Think ""fleg-matic"" - so calm they seem almost automatic","calm, unemotional",Greek,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022)",2025-08-19
phloem,"The tissue in plants that transports nutrients, especially sugars produced by photosynthesis, from the leaves to other parts of the plant.",The _____ carries sugar from the leaves to the roots and other plant parts.,One Bee,,,,,3.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.56),noun,FLOH-em (emphasis on first syllable),"From Greek ""phloios"" meaning ""bark""",Claude,"Think ""flow-em"" - nutrients flow through em (them)",food-conducting tissue,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
phlox,"A flowering plant with clusters of colorful, often fragrant flowers, popular in gardens and native to North America.",The garden was filled with pink and purple _____ blooming in the summer heat.,One Bee,,,,,4.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.86),noun,FLOKS (emphasis on first syllable),"From Greek ""phlox"" meaning ""flame"", referring to the bright flower colors",Claude,"Think ""flocks"" - flocks of colorful flowers",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
phobos,"The larger and closer of the two moons of Mars, named after the Greek god of fear; also refers to fear or panic in general.","The spacecraft captured detailed images of _____, the irregularly shaped moon of Mars.",Three Bee,,,,,3.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.56),noun (proper noun),FOH-bohs (emphasis on first syllable),"From Greek ""Phobos"", the personification of fear in Greek mythology",Claude,"Think ""foe-boss"" - a fearsome foe that is the boss of fear","fear, panic",Greek,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2023, 2024, 2025)",2025-08-19
phoenix,A mythical bird that cyclically burns itself to death and rises from its own ashes; a symbol of renewal and rebirth.,"Like a _____ rising from the ashes, the company rebuilt stronger after bankruptcy.",One Bee,,,,,4.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.86),noun,FEE-niks (emphasis on first syllable),"From Greek ""phoinix"" meaning ""purple-red"", referring to the bird's fiery colors",Claude,"Think ""fee-nicks"" - it costs a fee to see this mythical bird nick death",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
phone,A device used for transmitting and receiving voice communications over distances; short for telephone.,She answered the _____ on the first ring.,Two Bee,,,,,3.0,1.0,1.0,3.3,4-factor weighted model (overall_score: 2.06),"noun, verb",FOHN (emphasis on syllable),"From Greek ""phone"" meaning ""voice, sound""",Claude,"Think ""fone"" - a device for your voice",telephone,Greek,Claude,Scripps National Spelling Bee,Two Bee,1.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
phonetician,"A specialist in phonetics; someone who studies the sounds of human speech and their production, transmission, and reception.",The _____ analyzed the subtle differences in vowel pronunciation across dialects.,One Bee,,,,,4.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 3.11),noun,foh-nuh-TISH-uhn (emphasis on third syllable),"From Greek ""phone"" (sound) + ""technician""",Claude,"Think ""phone-technician"" - a technician who specializes in phone sounds",speech sound specialist,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2023, 2024, 2025)",2025-08-19
phoneticianmacular,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""phonetician"" (speech sound specialist) + ""macular"" (relating to spots/macula).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""phonetician"" and ""macular""",phonetician + macular (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
phonics,A method of teaching reading and spelling based on the relationship between sounds and their corresponding letters or letter combinations.,The teacher used _____ to help students decode unfamiliar words.,One Bee,,,,,4.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.86),noun,FON-iks (emphasis on first syllable),"From Greek ""phone"" meaning ""sound"" + ""-ics"" meaning ""study of""",Claude,"Think ""fon-icks"" - sounds that make you say ""ick"" when learning to read",phonetic method,Greek,Claude,Scripps National Spelling Bee,One Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
phosphorescent,"Emitting light without heat after being exposed to radiation; glowing with a soft, steady light that continues after the light source is removed.",The _____ plankton created a magical glow in the ocean waves.,One Bee,,,,,4.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 3.11),adjective,fos-fuh-RES-uhnt (emphasis on third syllable),"From Greek ""phosphoros"" meaning ""light-bearing"" + ""-escent"" meaning ""becoming""",Claude,"Think ""phosphor-essence"" - the essence of light-bearing phosphor","luminescent, glowing",Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2024, 2025)",2025-08-19
photogenic,Looking attractive in photographs; having features that photograph well; capable of being photographed.,The model was naturally _____ and looked stunning in every shot.,One Bee,,,,,4.0,4.0,3.0,3.3,4-factor weighted model (overall_score: 3.61),adjective,foh-tuh-JEN-ik (emphasis on third syllable),"From Greek ""photos"" meaning ""light"" + ""genes"" meaning ""born, produced""",Claude,"Think ""photo-genic"" - having genes that are good for photos",camera-friendly,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
