word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
auspices,Guidance and protection provided by someone or a divine power; favorable circumstances,/ˈɔspɪsəz/,"From Latin auspicium meaning 'divination by observing birds', from avis 'bird' + specere 'to look at'","AUSPICES: Ancient bird watchers Used Signs - People Interpreted bird flight patterns, Considered Ensuring good fortune, Success",The new community center was built under the _____ of the local government.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
austere,Severely simple and unadorned; strict or stern in manner,/ɔˈstɪr/,"From Latin austerus meaning 'harsh, sour, severe', from Greek austeros meaning 'making the tongue dry'",AUSTERE: Absolutely no Unnecessary Style - Totally Eliminating Relaxed Environments,The monk lived an _____ life with minimal possessions and simple food.,Claude,Claude,Claude,,Intermediate,2.5,3.0,1.0,2.0,False
australian,Relating to Australia or its people,/ɔˈstreɪliən/,From Australia (from Latin terra australis meaning 'southern land') + -an suffix,AUSTRALIAN: A continent Under Southern hemisphere - The Really Amazing Land Is with Abundant Natural animals,The _____ wildlife includes many unique species like kangaroos and koalas.,Claude,Claude,Claude,,Intermediate,2.5,4.0,1.0,2.0,False
auteur,A filmmaker who exercises creative control and has a distinctive personal style,/oʊˈtɜr/,"From French auteur meaning 'author', from Latin auctor meaning 'originator, creator'",AUTEUR: Artist Using Total control - Everyone Understands this director has personal flair,The acclaimed director was considered an _____ for his unique cinematic vision.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
authenticate,To prove or verify that something is genuine or valid,/ɔˈθɛntɪˌkeɪt/,"From Greek authentikos meaning 'original, genuine', from authentes 'master, one acting on his own authority'","AUTHENTICATE: Always Understand - These are the things To Help validate Evidence, Not Take Invalid Claims As Truth Even",The museum hired experts to _____ the newly discovered ancient artifacts.,Claude,Claude,Claude,,Intermediate,1.9,4.0,1.3,2.0,False
authenticatefiscal,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
authority,The power or right to give orders and enforce obedience; expert knowledge,/əˈθɔrəti/,"From Old French autorite, from Latin auctoritas meaning 'influence, command', from auctor 'originator'",AUTHORITY: Always Understands - This Higher Official person Reliably Influences Through Years of experience,The principal had the _____ to make important decisions about school policies.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,3.5,False
autism,A developmental disorder characterized by difficulties in social interaction and communication,/ˈɔtɪzəm/,"From Greek autos meaning 'self' + -ism, referring to self-absorption",AUTISM: A Unique brain Type - Individuals Special Mind processes information differently,The school provided specialized support for students with _____.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
autodidact,A self-taught person who learns without formal instruction,/ˈɔtoʊˌdaɪdækt/,"From Greek autodidaktos meaning 'self-taught', from autos 'self' + didaskein 'to teach'",AUTODIDACT: Always Teaching oneself - Understanding Through Original Discovery - Independently Developing Advanced Cognitive Training,The famous inventor was an _____ who never attended engineering school.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.5,2.0,False
autographs,Signatures or handwritten items by famous people; signs one's name,/ˈɔtəˌɡræfs/,From Greek autos 'self' + graphein 'to write',"AUTOGRAPHS: Always Taking Original - Genuine Representative Art, Personal Handwriting Signatures",The fans eagerly collected _____ from their favorite celebrities.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.5,2.0,False
autophagy,The process by which cells break down and recycle their own components,/ɔˈtɑfədʒi/,From Greek autos 'self' + phagein 'to eat',"AUTOPHAGY: Always Taking Old - Proteins Hurting cells - Actively Getting rid of worn out cellular parts, Yielding health",Scientists study _____ to understand how cells maintain themselves by recycling damaged proteins.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.8,2.0,False
available,Able to be used or obtained; present and ready for use,/əˈveɪləbəl/,"From avail (from Old French avaler 'to lower, to be of use') + -able suffix",AVAILABLE: Always Very Accessible - In Location And can Be Immediately Leveraged - Everyone can access,The library books are _____ for checkout by all students.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,3.5,False
avalanche,"A large mass of snow, ice, and rocks falling rapidly down a mountainside",/ˈævəˌlæntʃ/,"From French avalanche, possibly from Franco-Provençal lavantse, related to Latin lavare 'to wash'",AVALANCHE: Always Very Aggressive - Loud And Natural Catastrophic Hazard Event,The mountaineers took shelter when they heard the rumble of an approaching _____.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
avalon,"In Arthurian legend, a mythical island paradise where King Arthur was taken",/ˈævəˌlɑn/,"From Welsh Ynys Afallach meaning 'isle of apples', or possibly from Celtic abal meaning 'apple'","AVALON: Arthurian legend's Virtual Adventure - Legendary island Of paradise, Natural sanctuary","According to legend, King Arthur was taken to _____ to heal from his wounds.",Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,5.0,False
avarice,Extreme greed for wealth or material gain,/ˈævərɪs/,"From Old French avarice, from Latin avaritia meaning 'greed', from avarus 'greedy'","AVARICE: Always Very Aggressive - Relentless pursuit of money, Insatiable Craving for Everything",His _____ led him to make unethical business decisions for personal profit.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
avatar,A digital representation of a person; an incarnation or embodiment,/ˈævəˌtɑr/,"From Sanskrit avatara meaning 'descent', from ava 'down' + tarati 'he crosses'","AVATAR: A Virtual Artistic Representation - Anyone's digital persona, Taking Alternative visual form",She customized her _____ to look exactly like herself in the virtual world.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,5.0,False
avens,A type of flowering plant in the rose family with yellow or white flowers,/ˈeɪvənz/,"From Middle English, from Old French avence, possibly from a pre-Indo-European source",AVENS: A Versatile Elegant Natural flower - Species in rose family,The mountain _____ bloomed brightly among the rocky alpine terrain.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
avenue,A wide road or path; a way of approaching a problem or opportunity,/ˈævəˌnu/,"From French avenue meaning 'approach', from avenir 'to come to', from Latin advenire",AVENUE: A Very Elegant route - New Urban Environment pathway,The tree-lined _____ led directly to the grand entrance of the mansion.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
aversion,A strong dislike or disinclination toward something,/əˈvɜrʒən/,"From Latin aversio meaning 'a turning away', from avertere 'to turn away'",AVERSION: Actively Very against - Everyone Rejects Something that causes negative reaction,She had a strong _____ to public speaking and avoided it whenever possible.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
avgolemono,"A Greek soup made with eggs, lemon juice, and rice or orzo",/ˌɑvɡoʊˈlɛmoʊnoʊ/,"From Greek avgolemono, from avgo 'egg' + lemoni 'lemon'",AVGOLEMONO: A Very Greek bowl Of Lemon Egg soup - Making Nutritious Offerings,The restaurant's _____ was perfectly creamy with a bright lemon flavor.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
aviation,The operation and navigation of aircraft; the aircraft industry,/ˌeɪviˈeɪʃən/,From Latin avis meaning 'bird' + -ation suffix,"AVIATION: Always Very Inspiring - Aircraft Transportation Innovation, Operating aircraft Naturally",He pursued a career in _____ and became a commercial airline pilot.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
avifauna,"The birds of a particular region, habitat, or geological period",/ˌeɪvɪˈfɔnə/,From Latin avis 'bird' + fauna 'animals of a region',AVIFAUNA: All Various Indigenous Flying Animals - Understanding Natural Animals of specific regions,The tropical rainforest supported a diverse _____ including colorful parrots and toucans.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
avoid,To keep away from or prevent something from happening,/əˈvɔɪd/,"From Old French evuidier meaning 'to empty out', from Latin ex- 'out' + viduus 'empty'",AVOID: Always Very Overt about staying away - Intentionally Distance yourself,She tried to _____ walking through the construction zone for safety reasons.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
avuncular,Kind and friendly toward a younger person; like a benevolent uncle,/əˈvʌŋkjələr/,"From Latin avunculus meaning 'maternal uncle', diminutive of avus 'grandfather'",AVUNCULAR: Always Very Understanding - Nice Caring Uncle-Like caring Adult person,The professor's _____ manner made students feel comfortable asking questions.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
avversiera,A type of traditional Italian glazed ceramic pottery with distinctive patterns,/ˌɑvərˈsjɛrə/,"From Italian avversiera, regional term for a specific type of ceramic work","AVVERSIERA: Artisan Very Vibrant - Elaborate ceramic pottery, Richly Styled Italian Elegant ceramic artwork, A specific style pattern",The museum displayed beautiful examples of traditional _____ pottery from Renaissance Italy.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.0,2.0,False
award,To give something as a prize or honor; a prize or honor given,/əˈwɔrd/,"From Anglo-Norman awarder meaning 'to decide, grant', from a- 'to' + warder 'to guard'",AWARD: Always Well-deserved - Admirable Recognition for Distinguished work,The committee will _____ the scholarship to the most deserving student.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.3,3.5,False
aware,Having knowledge or perception of a situation or fact,/əˈwɛr/,"From Old English gewær meaning 'wary, cautious', from Proto-Germanic ga-waraz",AWARE: Always Watching - Actively Recognizing Everything around you,She became _____ of the approaching storm from the darkening clouds.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
awesome,Inspiring awe or admiration; extremely impressive,/ˈɔsəm/,"From awe + -some suffix, where awe comes from Old Norse agi meaning 'terror'",AWESOME: Absolutely Wonderful - Everybody Sees Outstanding Magnificent Events,The _____ view from the mountain peak took their breath away.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
awfully,Very; extremely (informal intensifier); in a terrible manner,/ˈɔfəli/,"From awful + -ly, where awful originally meant 'inspiring awe'","AWFULLY: Absolutely - Wonder Fully emphasizing extremely, Lots of intensity, very much",The weather was _____ cold during the winter camping trip.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.0,False
awkwardly,In a clumsy or uncomfortable manner; in a way that causes embarrassment,/ˈɔkwərdli/,"From awkward + -ly, where awkward comes from Middle English awkeward meaning 'turned the wrong way'","AWKWARDLY: Actions Walking Klumsily - Weirdly And Really Distinctly clumsily, Looking very unnatural in motion, with discomfort",He _____ dropped his books while trying to impress his classmates.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,3.5,False
awry,Away from the correct or expected course; amiss or wrong,/əˈraɪ/,"From Middle English, from a- 'on' + wry 'twisted'","AWRY: Always Wrong - Rotating off course, not going as You planned",Their carefully planned surprise party went _____ when the guest of honor arrived early.,Claude,Claude,Claude,,Intermediate,2.5,2.5,1.3,3.5,False
awryb,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
axiomatic,Self-evidently true; taken as established fact without proof,/ˌæksiəˈmætɪk/,"From Greek axiomatikos, from axioma meaning 'that which is thought worthy', from axios 'worthy'","AXIOMATIC: Absolutely eXpected - Immediately Obvious - Mathematical And True principles Inherent in foundations, Clearly obvious truth",It was _____ that students who studied more would perform better on exams.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.3,2.0,False
axis,An imaginary line about which a body rotates; a fixed reference line,/ˈæksɪs/,"From Latin axis meaning 'axle, axis', possibly related to Greek axon 'axle'",AXIS: Always eXact - Imaginary line - Straight through center,The Earth rotates on its _____ once every twenty-four hours.,Claude,Claude,Claude,,Beginner,2.0,2.5,1.0,2.0,False
axle,A rod or spindle passing through the center of a wheel,/ˈæksəl/,"From Middle English axel, from Old Norse öxull, related to axis",AXLE: Always eXtends through wheel center - Lets vehicle wheels Efficiently turn,The mechanic replaced the broken _____ to fix the wobbling wheel.,Claude,Claude,Claude,,Intermediate,2.0,2.5,1.0,3.5,False
ayurvedic,"Relating to Ayurveda, a traditional Hindu system of medicine",/ˌaɪjʊrˈveɪdɪk/,"From Sanskrit ayurveda, from ayus 'life' + veda 'knowledge'","AYURVEDIC: Ancient Yoga Understanding - Restoring Vitality through Early holistic healing Discipline - Indian medical practice, healing Complex conditions",She consulted an _____ practitioner for natural treatments to improve her health.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,5.0,False
azedarach,"A tree in the mahogany family, also known as chinaberry or bead tree",/əˈzɛdərˌæk/,"From Persian azad-darakht meaning 'free tree', from azad 'free' + darakht 'tree'","AZEDARACH: A tree that grows Zealously - Everyone Definitely Admires its Rapid growth And Characteristic berries, Hardiness",The _____ tree produced clusters of small purple berries that birds enjoyed.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.0,5.0,False
