word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
asgard,"In Norse mythology, the realm of the gods (Æsir), connected to Earth by the rainbow bridge Bifrost.","In Norse legends, warriors who died bravely would journey to _____ to feast with the gods.",Three Bee; Two Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),noun,AZ-gard (emphasis on first syllable),"From Old Norse 'Ásgarðr', from 'áss' (god) + 'garðr' (enclosure, yard)",Claude,Think 'As-gard' - the guarded realm of the gods (As/Æsir),,Old Norse,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,3,Scripps National Spelling Bee Words of the Champions (2023; 2024; 2025),2025-08-19
asiago,"A type of Italian cheese, named after the Asiago plateau, available in fresh and aged varieties.",The chef grated fresh _____ cheese over the warm pasta dish.,Three Bee,,,,,1.0,3.0,1.0,3.0,4-factor weighted model (overall_score: 1.90),noun,ah-see-AH-go (emphasis on third syllable),"From Asiago, a town and plateau in the Veneto region of Italy",Claude,Think 'Asiago' - the Italian town famous for its distinctive cheese,,Italian,Claude,Scripps National Spelling Bee,Three Bee,2,Scripps National Spelling Bee Words of the Champions (2024; 2025),2025-08-19
asiagoaspish,COMBINED WORD ERROR - appears to be 'asiago' + 'aspish' incorrectly joined,ERROR: This appears to be two words incorrectly combined.,Three Bee,,,,,1.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.35),ERROR,ERROR - combined word,ERROR - this appears to be a data extraction error,Claude,FLAG: This is a combined word error that needs manual review,,ERROR,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
asiatic,"Relating to Asia or its peoples; sometimes considered outdated, with 'Asian' being preferred.",The museum featured an extensive collection of _____ art and artifacts.,Three Bee,,,,,1.0,3.0,1.5,2.0,4-factor weighted model (overall_score: 1.83),adjective,ay-shee-AT-ik (emphasis on third syllable),"From Latin 'Asiaticus', from Greek 'Asiatikos'",Claude,Think 'Asiatic' - relating to the continent of Asia,,Latin,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
asked,Past tense of ask; requested information or made an inquiry; invited or requested.,She _____ the teacher to explain the difficult concept again.,One Bee; Three Bee; Two Bee,,,,,1.0,3.0,1.5,4.0,4-factor weighted model (overall_score: 2.23),verb,ASKT (single syllable),"From Old English 'ascian', related to Germanic 'aiskōną'",Claude,Think 'asked' - simple past form of making a request,,Old English,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,6,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
asmanian,Relating to Tasmania (informal variant); pertaining to the island state of Australia.,The _____ devil is a unique marsupial found only on that island.,Two Bee,,,,,1.0,4.0,1.0,1.0,4-factor weighted model (overall_score: 1.75),adjective,az-MAY-nee-un (emphasis on second syllable),"Variant of 'Tasmanian', from Tasmania (named after Abel Tasman)",Claude,Think 'Asmanian' - variant form relating to Tasmania,,English,Claude,Scripps National Spelling Bee,Two Bee,2,Scripps National Spelling Bee Words of the Champions (2022; 2023),2025-08-19
asparagus,"A green vegetable with long, tender spears; a plant cultivated for its edible shoots.",The dinner featured grilled _____ drizzled with lemon and olive oil.,One Bee,,,,,1.0,4.0,1.0,3.0,4-factor weighted model (overall_score: 2.15),noun,uh-SPAR-uh-gus (emphasis on second syllable),"From Latin 'asparagus', from Greek 'asparagos'",Claude,Think 'asparagus' - the spear-like green vegetable,,Greek,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
aspersions,Harsh or unfair criticisms; attacks on someone's reputation or character.,The candidate refused to cast _____ on his opponent's character.,One Bee,,,,,2.0,4.0,1.0,2.0,4-factor weighted model (overall_score: 2.25),noun,uh-SPUR-zhunz (emphasis on second syllable),"From Latin 'aspersio', from 'aspergere' (to sprinkle, splash)",Claude,Think 'aspersions' - splashing criticism like water,,Latin,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
asphyxiate,To kill or make unconscious by depriving of oxygen; to suffocate.,The toxic fumes could _____ anyone trapped in the sealed room.,One Bee,,,,,2.0,4.0,1.0,3.0,4-factor weighted model (overall_score: 2.45),verb,as-FIK-see-ayt (emphasis on second syllable),"From Greek 'asphyxia', from 'a-' (without) + 'sphyxis' (pulse)",Claude,"Think 'a-sphyxiate' - without pulse, deprived of oxygen",,Greek,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
aspidistra,"A hardy houseplant with broad, dark green leaves, popular in Victorian times.",The Victorian parlor featured a large _____ in a decorative ceramic pot.,Three Bee,,,,,1.0,4.0,1.0,3.0,4-factor weighted model (overall_score: 2.15),noun,as-puh-DIS-truh (emphasis on third syllable),"From Greek 'aspidistos', from 'aspis' (shield) referring to leaf shape",Claude,Think 'aspidistra' - the shield-shaped (aspis) leafed plant,,Greek,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
aspirate,To breathe in; to pronounce with a breath of air; to remove fluid from the body with suction.,The doctor needed to _____ fluid from the patient's lungs.,One Bee,,,,,1.0,4.0,1.0,2.0,4-factor weighted model (overall_score: 1.95),verb/noun,AS-puh-rayt (emphasis on first syllable),"From Latin 'aspirare', from 'ad-' (to) + 'spirare' (to breathe)",Claude,Think 'aspirate' - to breathe toward or draw in air,,Latin,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
aspirin,A common pain-relieving and anti-inflammatory medication; acetylsalicylic acid.,She took an _____ to relieve her headache and reduce the fever.,Three Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),noun,AS-pur-in (emphasis on first syllable),"From 'a-' + 'spir' (from spiraea, meadowsweet plant) + '-in'",Claude,Think 'aspirin' - derived from the spiraea plant for pain relief,,Modern Latin,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
aspish,Resembling or characteristic of an asp (venomous snake); snake-like in malice or danger.,Her _____ glare warned others to keep their distance.,Three Bee; Two Bee,,,,,1.0,3.0,1.0,1.0,4-factor weighted model (overall_score: 1.50),adjective,AS-pish (emphasis on first syllable),From 'asp' (venomous snake) + '-ish' (having the quality of),Claude,Think 'asp-ish' - like a dangerous snake in character,,English,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,2,Scripps National Spelling Bee Words of the Champions (2023; 2024),2025-08-19
assailant,A person who attacks another physically or verbally; an aggressor.,The victim was unable to identify her _____ in the police lineup.,One Bee; Three Bee; Two Bee,,,,,1.0,4.0,1.0,2.0,4-factor weighted model (overall_score: 1.95),noun,uh-SAY-lunt (emphasis on second syllable),"From French 'assaillant', from 'assaillir' (to attack)",Claude,Think 'assailant' - one who assails or attacks others,,French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,6,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
assam,A state in northeastern India; a type of black tea grown in this region.,The afternoon tea service featured a robust _____ blend with milk and sugar.,Three Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),noun,uh-SAHM (emphasis on second syllable),"From Sanskrit 'asama' meaning 'unequaled, peerless'",Claude,Think 'Assam' - the unequaled region famous for strong tea,,Sanskrit,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
