word,years,source_files,source_difficulties,pronunciation,definition,etymology,memory_tip,example_sentence,definition_source,pronunciation_source,example_sentence_source,etymology_source,memory_tip_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error
norovirus,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,/ˈnɔroʊˌvaɪrəs/,"Norovirus is a highly contagious virus that causes gastroenteritis, commonly known as the stomach flu or winter vomiting bug. It is the most common cause of viral gastroenteritis worldwide, responsible for millions of cases of food poisoning annually. The virus belongs to the family Caliciviridae and was first identified in 1972 following an outbreak in Norwalk, Ohio. Norovirus infections are characterized by sudden onset of nausea, vomiting, diarrhea, and stomach cramps. The virus is extremely resilient, surviving on surfaces for days and requiring only a tiny amount to cause infection. It spreads rapidly in closed environments like cruise ships, nursing homes, schools, and hospitals. Unlike bacterial food poisoning, norovirus cannot be treated with antibiotics and typically resolves on its own within 24-72 hours. Prevention relies heavily on proper hand hygiene, surface disinfection, and food safety practices. The virus has multiple strains and constantly mutates, making it difficult for the human immune system to develop long-lasting protection.","Named after Norwalk, Ohio, where the first outbreak was identified in 1972. The suffix ""-virus"" comes from Latin virus meaning ""poison"" or ""slimy liquid.""","Remember ""Norwalk virus"" - the original name from the city where it was first discovered. Think ""Nor-walk"" because you might not want to walk much when you have this stomach bug.",The cruise ship was quarantined after a _____ outbreak affected over 200 passengers with severe gastrointestinal symptoms.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
north,2024,2024 Words of the Champions.pdf,Three Bee,/nɔrθ/,"North refers to the cardinal direction that is opposite to south and is typically oriented toward the top of maps. In geography and navigation, north is defined as the direction toward the Earth's North Pole, which is located at the northern end of the planet's rotational axis. The concept of north has been fundamental to human navigation for millennia, with various cultures developing methods to determine this direction using celestial bodies, particularly the North Star (Polaris) in the Northern Hemisphere. Magnetic north, indicated by compass needles, differs slightly from true north due to the Earth's magnetic field variations. The word is also used metaphorically to represent upward direction, progress, or positive movement, as in ""heading north"" to mean improving or increasing. In cultural contexts, ""the North"" often refers to regions in the northern part of a country or continent, such as Northern England, the American North during the Civil War, or the Arctic regions. The direction north has symbolic associations with coldness, winter, darkness (in the Northern Hemisphere), and in some traditions, wisdom or spiritual enlightenment.","From Old English norþ, from Proto-Germanic *nurþraz, related to Dutch noord and German nord. The root may be related to ""nether"" meaning ""below"" or ""under.""","Think of the North Star - the bright star that has guided travelers north for centuries. ""North"" sounds like ""worth"" - worth knowing for navigation.",The explorer used his compass to determine which direction was _____ before setting up camp.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
northern,2024,2024 Words of the Champions.pdf,Three Bee,/ˈnɔrðərn/,"Northern is an adjective describing something situated in, directed toward, or characteristic of the north or the northern part of a region, country, or hemisphere. When applied to geography, it designates areas located in the upper portions of maps or closer to the North Pole. The term carries various cultural, climatic, and biological associations depending on context. In climatology, northern regions typically experience cooler temperatures, distinct seasonal patterns, and in extreme cases, polar conditions with extended periods of darkness or daylight. Northern ecosystems often feature coniferous forests, tundra, and specialized wildlife adapted to colder climates. Culturally, ""Northern"" can refer to distinct regional identities, dialects, cuisines, and traditions that have developed in response to geographic and climatic conditions. In historical contexts, particularly in American history, ""Northern"" refers to the states that opposed slavery and formed the Union during the Civil War. The term is also used in politics, economics, and social sciences to describe characteristics, policies, or phenomena associated with northern regions, such as Northern European social democracy or Northern industrial economies.","From Old English norþerne, combining norþ (north) with the suffix -erne indicating direction or origin, similar to ""southern,"" ""eastern,"" and ""western.""","Add ""-ern"" to north to make it an adjective. Think of ""Northern Lights"" - the beautiful aurora visible in northern regions.",The _____ territories of Canada experience extreme cold temperatures during the winter months.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.0,,True
nose,2023,2023_Words_of_the_Champions.pdf,Two Bee,/noʊz/,"The nose is a prominent facial organ that serves as the primary entrance to the respiratory system and houses the sense of smell. Anatomically, it consists of external and internal structures, including the nasal bones, cartilage, nostrils (nares), nasal cavity, and olfactory epithelium. The nose performs several vital functions: it filters, warms, and humidifies incoming air; it contains specialized cells that detect odors and transmit information to the brain for smell recognition; and it plays a role in speech resonance and voice quality. The external nose shape varies significantly among individuals and populations, influenced by genetic, environmental, and evolutionary factors. Beyond its biological functions, the nose holds cultural significance in many societies, appearing in idioms (""nose for business,"" ""right under your nose""), literature, and art. In medicine, the nose is subject to various conditions including allergies, infections, structural abnormalities, and injuries. The phrase ""nose"" is also used metaphorically to describe the front or projecting part of objects, such as the nose of an airplane or ship.","From Old English nosu, from Proto-Germanic *nusō, related to Dutch neus and German Nase. Connected to Latin nasus and Sanskrit nasa.","Think of how your nose ""knows"" smells - both words start with ""no"" and relate to sensing and awareness.",The bloodhound used its powerful _____ to track the scent through the dense forest.,Claude,Claude,Claude,Claude,Claude,1.0,1.0,1.0,3.4000000000000004,,False
nosh,2025,2025 Words of Champion _1_.pdf,Three Bee,/nɑʃ/,"Nosh is a Yiddish-derived word that means to eat snacks or light food between meals, or to nibble continuously throughout the day rather than eating formal meals. As a verb, it describes the act of casual, informal eating, often of small portions or appetizers. As a noun, it refers to the snack food itself or a light meal. The word carries connotations of leisurely, social eating and is often associated with Jewish-American culture and delicatessen traditions. In modern usage, noshing implies a relaxed, social atmosphere where people graze on various small foods, such as at parties, gatherings, or while socializing. The term has expanded beyond its cultural origins and is now commonly used in American English to describe any casual snacking behavior. Noshing often involves foods that can be eaten by hand, such as nuts, crackers, chips, small sandwiches, or appetizers. The concept emphasizes the social and pleasurable aspects of eating rather than eating for purely nutritional purposes.","From Yiddish nashn, meaning ""to eat sweets"" or ""to snack,"" which comes from Middle High German naschen meaning ""to nibble"" or ""to eat secretly.""","Think ""nibble nosh"" - both start with ""n"" and relate to small, casual eating. The ""sh"" sound mimics the munching sound of snacking.","At the party, guests were invited to _____ on a variety of appetizers and finger foods throughout the evening.",Claude,Claude,Claude,Claude,Claude,1.0,1.0,1.0,1.8,,False
nostalgia,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,/nɑˈstældʒə/,"Nostalgia is a complex emotional state characterized by a wistful or sentimental longing for a period in the past, typically for a time or place associated with happy personal memories or perceived as better than the present. Originally coined as a medical term to describe severe homesickness, nostalgia is now understood as a normal psychological phenomenon that serves important emotional and social functions. It often involves idealized memories that may not accurately reflect past reality, as people tend to remember positive aspects while forgetting negative ones. Nostalgia can be triggered by sensory experiences like music, smells, or visual cues, and it serves to enhance mood, increase self-esteem, foster social connections, and provide meaning and continuity in life. The emotion is universal across cultures, though the specific triggers and objects of nostalgic feelings vary widely. In consumer culture, nostalgia is frequently exploited in marketing through ""retro"" products, remakes, and appeals to ""the good old days."" Psychologically, nostalgia helps people cope with stress, loneliness, and uncertainty by connecting them to positive memories and reinforcing their sense of identity and belonging.","Coined in 1688 by Swiss physician Johannes Hofer from Greek nostos (homecoming) + algos (pain, grief), literally meaning ""the pain of homecoming"" or homesickness.","Break it down: ""nost-"" sounds like ""lost"" and ""-algia"" means pain (like neuralgia). So nostalgia is the pleasant pain of things lost to time.",Looking through old photo albums filled her with _____ for her childhood summers at her grandmother's house.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
nostradame,2025,2025 Words of Champion _1_.pdf,Three Bee,/ˌnoʊstrəˈdɑm/,"Nostradame is likely a variant spelling or alternate form of Nostradamus, referring to Michel de Nostredame (1503-1566), the famous French physician, astrologer, and reputed prophet. He is best known for his book ""Les Prophéties,"" a collection of 942 poetic quatrains that many believe contain predictions about future events. Born in southeastern France, he initially worked as a physician treating plague victims before turning to astrology and divination. His prophecies, written in a mixture of French, Latin, Greek, and Occitan, are intentionally cryptic and ambiguous, allowing for multiple interpretations. Throughout history, people have claimed that Nostradamus predicted major events such as the Great Fire of London, the French Revolution, the rise of Napoleon and Hitler, and various natural disasters. However, scholars and skeptics argue that these connections are often made retroactively and that the vague language of his quatrains can be interpreted to fit almost any significant event. Regardless of their prophetic accuracy, Nostradamus's writings have had a lasting cultural impact and continue to fascinate people interested in prophecy and the supernatural.","Variant of Nostradamus, from the Latinized form of Michel de Nostredame's surname. ""Nostredame"" means ""Our Lady"" in Old French, referring to the Virgin Mary.","Think of ""Notre Dame"" (Our Lady) - Nostradame/Nostradamus comes from a similar French origin meaning ""Our Lady.""",The documentary explored various interpretations of _____ prophecies and their alleged connections to historical events.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,2.6,,False
nostradamus,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˌnoʊstrəˈdɑməs/,"Nostradamus is the Latinized name of Michel de Nostredame (1503-1566), a French physician, astrologer, and renowned prophet whose cryptic predictions have fascinated and puzzled people for centuries. Born during the Renaissance in Saint-Rémy-de-Provence, he initially pursued medicine, becoming a respected physician who treated plague victims with innovative methods. However, he gained lasting fame for his prophetic writings, particularly ""Les Prophéties"" (The Prophecies), published in 1555. This work contains 942 poetic quatrains written in a deliberately obscure style, mixing French with Latin, Greek, and Occitan words. His predictions allegedly foretold major historical events including the Great Fire of London (1666), the French Revolution, the rise and fall of Napoleon, World War II, and the September 11 attacks. The ambiguous nature of his writings allows for multiple interpretations, leading to ongoing debates about their accuracy. Skeptics argue that the prophecies are too vague to constitute genuine predictions and that supposed connections to historical events are often made retroactively. Despite scholarly criticism, Nostradamus remains a popular figure in popular culture, with his name synonymous with prophecy and future prediction.","Latinized form of Michel de Nostredame, from Old French ""nostre dame"" meaning ""our lady,"" referring to the Virgin Mary.","Think ""nos-tra-DAM-us"" - ""nos"" (us) + ""tra"" (see) + ""dam"" (stop/block) + ""us"" - he tried to help us see what would block or challenge us in the future.",Many people still study the cryptic quatrains of _____ hoping to decode predictions about future world events.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,2.6,,False
nostrilsthe,2025,2025 Words of Champion _1_.pdf,Three Bee,Not applicable - combined word error,"This appears to be a combined word error resulting from PDF parsing issues. It likely represents ""nostrils"" combined with ""the"" or another word fragment.",Combined word error - not a legitimate word.,"This is an error from PDF processing - ""nostrils"" and another word were incorrectly joined together.",Not applicable - this is an error in data processing.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,1.0,,False
notable,2025,2025 Words of Champion _1_.pdf,Three Bee,/ˈnoʊtəbəl/,"Notable is an adjective meaning worthy of attention, remarkable, or significant due to distinctive qualities or achievements that set someone or something apart from the ordinary. When describing people, notable individuals are those who have achieved recognition, distinction, or fame in their fields, whether in arts, sciences, politics, business, or other areas of human endeavor. For events, discoveries, or phenomena, notable refers to those that have particular importance, influence, or memorable characteristics that make them stand out in history or current affairs. The word implies a level of prominence that merits recognition, discussion, or remembrance. As a noun, ""notables"" refers to prominent or distinguished people within a community or society. Notable achievements often contribute to progress, culture, or understanding in significant ways. The term suggests that something or someone has qualities that deserve to be ""noted"" or recorded for their importance, influence, or exceptional nature. In academic and professional contexts, notable work represents contributions that advance knowledge, technique, or understanding beyond routine accomplishments.","From Latin notabilis, from notare meaning ""to mark"" or ""to note,"" which comes from nota meaning ""mark"" or ""sign.""","Think ""note-able"" - something so important that it's able to be noted or worth writing down and remembering.",The scientist's _____ discovery about gene therapy earned her recognition from the international medical community.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.5,1.8,,False
