"word","definition","example_sentence","source_difficulty","difficulty_level","difficulty_name","ai_difficulty_level","ai_difficulty_name","phonetic_transparency_score","word_frequency_score","morphology_score","etymology_score","difficulty_calculation_method","part_of_speech","pronunciation_guide","etymology","etymology_source","memory_tips","alternate_spellings","language_origin","definition_source","source_names","source_difficulties","frequency","original_source","source_access_date"
"surplus","An amount of something left over when requirements have been met; an excess of income or assets over expenditure or liabilities; more than what is needed or used.","The company used its budget _____ to invest in new equipment.","One Bee; Three Bee; Two Bee","","","","","2.0","2.0","1.5","2.0","4-factor weighted model (overall_score: 1.88)","noun, adjective","SER-plushs (emphasis on first syllable)","From Old French ""sourplus,"" from Latin ""super"" (over) + ""plus"" (more)","Claude","Think ""sur-plus"" - over and above, extra plus","","Latin via French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024)","2025-08-19"
"surrealist","An artist or writer who practices surrealism, a cultural movement emphasizing the expression of the unconscious mind through fantastic imagery and incongruous juxtaposition of subject matter.","The _____ artist created paintings featuring melting clocks and floating elephants.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","1.5","2.3","4-factor weighted model (overall_score: 2.06)","noun, adjective","suh-REE-uh-list (emphasis on second syllable)","From French ""surréaliste,"" from ""sur"" (above) + ""réalisme"" (realism)","Claude","Think ""sur-real-ist"" - one who goes beyond reality","","French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surreptitious","Kept secret, especially because it would not be approved of; done secretly or stealthily; characterized by stealth; furtive; clandestine.","She took a _____ glance at her watch during the boring meeting.","One Bee; Three Bee; Two Bee","","","","","3.0","2.0","2.5","2.0","4-factor weighted model (overall_score: 2.38)","adjective","ser-uhp-TISH-uhs (emphasis on third syllable)","From Latin ""surreptitius,"" from ""surripere"" meaning ""to take away secretly""","Claude","Think ""sur-reptit-ious"" - sneaky like a reptile slithering secretly","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surrogate","A substitute, especially a person deputizing for another in a specific role or office; a woman who bears a child for another person; acting as a substitute.","The couple found a _____ mother to help them have a child.","One Bee; Two Bee","","","","","2.5","1.5","1.5","2.0","4-factor weighted model (overall_score: 1.85)","noun, adjective, verb","SER-uh-git (emphasis on first syllable)","From Latin ""surrogatus,"" from ""surrogare"" meaning ""to put in another's place""","Claude","Think ""sur-rogate"" - to ask (rogate) someone to stand in for you","","Latin","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023)","2025-08-19"
"surrounded","Past tense of surround; encircled; enclosed on all sides; having something on every side; completely encompassed by something.","The castle was _____ by a deep moat filled with water.","Three Bee; Two Bee","","","","","2.5","2.5","1.5","2.0","4-factor weighted model (overall_score: 2.15)","verb (past tense)","suh-ROUND-id (emphasis on second syllable)","From Old French ""soronder,"" from Latin ""super"" (over) + ""undare"" (to flow)","Claude","Think ""sur-rounded"" - round all around, encircled","","Latin via French","Claude","Scripps National Spelling Bee","Three Bee; Two Bee","2.5","Scripps National Spelling Bee Words of the Champions (2022; 2025)","2025-08-19"
"surveyed","Past tense of survey; looked closely at or examined; conducted a general view or investigation of; measured and mapped an area of land.","The architect _____ the land before designing the new building.","Two Bee","","","","","2.0","2.0","1.5","2.0","4-factor weighted model (overall_score: 1.88)","verb (past tense)","ser-VAYD (emphasis on second syllable)","From Old French ""surveoir,"" from Latin ""super"" (over) + ""videre"" (to see)","Claude","Think ""sur-veyed"" - looked over something from above","","Latin via French","Claude","Scripps National Spelling Bee","Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2022)","2025-08-19"
"suspicion","A feeling or thought that someone is guilty of an illegal, dishonest, or unpleasant act; the feeling of not trusting someone or something; doubt about someone's honesty.","The detective had a _____ that the butler was hiding something important.","One Bee; Two Bee","","","","","2.5","1.5","1.0","2.0","4-factor weighted model (overall_score: 1.73)","noun","suh-SPISH-uhn (emphasis on second syllable)","From Latin ""suspicere,"" from ""sub"" (from below) + ""specere"" (to look)","Claude","Think ""sus-picion"" - suspicious vision, looking with doubt","","Latin","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022)","2025-08-19"
"sustain","To strengthen or support physically or mentally; to keep going; to maintain; to provide with necessities or nourishment; to uphold or defend.","The solar panels help _____ the building's energy needs.","Three Bee","","","","","2.0","3.0","1.0","2.0","4-factor weighted model (overall_score: 2.05)","verb","suh-STAYN (emphasis on second syllable)","From Latin ""sustinere,"" from ""sub"" (from below) + ""tenere"" (to hold)","Claude","Think ""sus-tain"" - to hold up and maintain","","Latin","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"sustenance","Food and drink regarded as a source of strength; nourishment; something that supports or maintains life; the process of providing or receiving nourishment.","The hikers packed enough _____ to last them through the week-long trek.","Two Bee","","","","","2.5","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.88)","noun","SUH-stuh-nuhns (emphasis on first syllable)","From Latin ""sustinere"" (to sustain) + ""-ance"" suffix indicating state","Claude","Think ""sustain-ance"" - the thing that sustains you","","Latin","Claude","Scripps National Spelling Bee","Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2022)","2025-08-19"
"susurrus","A soft murmuring or whispering sound; a gentle rustling; a low, continuous sound like whispering or the rustling of leaves.","The _____ of wind through the pine trees was incredibly soothing.","One Bee","","","","","2.0","1.0","1.5","2.0","4-factor weighted model (overall_score: 1.58)","noun","soo-SER-uhs (emphasis on second syllable)","From Latin ""susurrus"" meaning ""whisper"" or ""murmur""","Claude","Think ""sus-urrus"" - the sound ""sus"" repeated like a whisper","","Latin","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020; 2021)","2025-08-19"
