word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
cushion,"A soft bag filled with air, feathers, foam, or other material, used to make something more comfortable or to protect against impacts.",She placed a _____ behind her back for extra comfort while reading.,One Bee,,,,,4.0,3.0,1.0,2.6,4-factor weighted model (overall_score: 2.72),"noun, verb",KOOSH-uhn (emphasis on first syllable),"From Old French ""coissin"", from Latin ""culcita"" meaning ""mattress, pillow""",Claude,"Think ""cozy-shin"" - something cozy to rest your shin on","pillow, pad",Latin via Old French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
custard,"A sweet dessert made from milk, eggs, and sugar, typically thickened by cooking and often flavored with vanilla.",The creamy _____ was the perfect ending to the elegant dinner.,Three Bee,,,,,4.0,3.0,1.0,1.3,4-factor weighted model (overall_score: 2.46),noun,KUHS-terd (emphasis on first syllable),"From Middle English ""crustade"", meaning a tart with a crust, later applied to the filling",Claude,"Think ""crust-ard"" - originally a custard in a crust",,Middle English,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
customer,A person who purchases goods or services from a business; a client or patron.,The _____ was pleased with the excellent service at the restaurant.,Three Bee,,,,,4.0,4.0,2.0,1.3,4-factor weighted model (overall_score: 2.96),noun,KUHS-tuh-mer (emphasis on first syllable),"From Middle English ""custumer"", from ""custom"" meaning habit, usage",Claude,"Think ""custom-er"" - someone who follows the custom of buying","client, patron",Middle English,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
cutaneous,Relating to or affecting the skin; having to do with the outer layer of the body.,The doctor examined the patient for any _____ abnormalities.,One Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),adjective,kyoo-TAY-nee-us (emphasis on second syllable),"From Latin ""cutaneus"", from ""cutis"" meaning ""skin""",Claude,"Think ""cut-aneous"" - related to what you can cut (the skin)","dermal, skin-related",Latin,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022)",2025-08-19
cute,"Attractive in a pretty or endearing way; appealing, especially in a small or delicate manner.",The puppy was so _____ that everyone wanted to pet it.,Two Bee,,,,,3.0,2.0,1.0,1.3,4-factor weighted model (overall_score: 1.91),adjective,KYOOT (emphasis on first syllable),"Originally short for ""acute"", meaning clever or shrewd, later meaning attractive",Claude,"Think of ""acute"" angle - sharp and appealing","adorable, sweet",Latin via Middle English,Claude,Scripps National Spelling Bee,Two Bee,2.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
cutis,"The skin, especially the deeper layer (dermis) beneath the epidermis; used in medical terminology.",The dermatologist studied the structure of the _____ in detail.,One Bee,,,,,4.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.66),noun,KYOO-tis (emphasis on first syllable),"From Latin ""cutis"" meaning ""skin""",Claude,"Think ""cut-is"" - what you cut is the skin","dermis, skin",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2025)",2025-08-19
cutiscyanosis,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""cutis"" (skin) + ""cyanosis"" (bluish discoloration).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""cutis"" and ""cyanosis""",cutis + cyanosis (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
cutlery,"Sharp cutting implements, especially knives, forks, and spoons used for eating; collectively, eating utensils.",The formal dinner table was set with the finest silver _____.,One Bee,,,,,4.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.91),noun,KUHT-luh-ree (emphasis on first syllable),"From Old French ""coutelier"", from ""coutel"" meaning ""knife""",Claude,"Think ""cut-lery"" - tools used for cutting and eating","silverware, utensils",Old French,Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
cutter,"A person or tool that cuts; a type of small, fast sailing vessel; a small boat used by larger ships.",The paper _____ made precise slices through the thick cardboard.,Three Bee,,,,,4.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 3.25),noun,KUHT-er (emphasis on first syllable),"From ""cut"" + ""-er"" (agent suffix)",Claude,"Think ""cut-ter"" - one who cuts","blade, slicer",English,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
cutting,The action of using a sharp tool to divide or slice; a piece cut from a plant for propagation; harsh or hurtful in speech.,The gardener took a _____ from the rose bush to grow a new plant.,Three Bee,,,,,4.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 3.25),"noun, adjective, verb (present participle)",KUHT-ing (emphasis on first syllable),"From ""cut"" + ""-ing"" (present participle suffix)",Claude,"Think ""cut-ting"" - the ongoing action of cutting","slicing, sharp",English,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
cyanosis,A bluish discoloration of the skin and mucous membranes due to insufficient oxygen in the blood.,The patient showed signs of _____ around the lips and fingertips.,One Bee,,,,,3.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 2.81),noun,sahy-uh-NOH-sis (emphasis on third syllable),"From Greek ""kyanos"" meaning ""blue"" + ""-osis"" meaning ""condition""",Claude,"Think ""cyan-osis"" - cyan blue skin condition",blue skin syndrome,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2025)",2025-08-19
