word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
primordial,Existing from the beginning of time; primeval; fundamental.,/praɪˈmɔːrdiəl/,pry-MOR-dee-ul,"From Latin ""primordialis,"" from ""primordium"" (beginning), from ""primus"" (first) + ""ordiri"" (to begin).",Claude,"Think ""primo"" (first) + ""ordial"" (order) = first order of existence.",The ___ soup of the early Earth contained the building blocks of life.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
princely,Of or worthy of a prince; magnificent; generous.,/ˈprɪnsli/,PRINS-lee,"From ""prince"" + suffix ""-ly,"" from Latin ""princeps"" (first, chief).",Claude,"Think ""prince"" + ""ly"" = in a manner worthy of a prince.",The mansion was furnished in a ___ style with gold and marble.,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,3,4,23,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
princeps,A first edition of a book; the first or leading citizen (Roman title).,/ˈprɪnsɛps/,PRIN-seps,"From Latin ""princeps,"" from ""primus"" (first) + ""capere"" (to take).",Claude,"Think ""prince"" + ""ceps"" (takes) = first one who takes leadership.",The rare ___ edition of Shakespeare was worth millions at auction.,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,8,8,3,4,23,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
princepsprocurement,"[COMBINED WORD ERROR] This appears to be ""princeps"" + ""procurement"" incorrectly joined. Should be separated into two distinct words.",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""princeps"" (Latin: first citizen) with ""procurement"" (Latin: obtaining).",Claude,"[ERROR] This should be split into ""princeps"" (first edition/citizen) and ""procurement"" (obtaining).","[ERROR] This combined word should be corrected to separate ""princeps"" and ""procurement.""",Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,8,7,4,25,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
princess,A female member of a royal family; the daughter or wife of a prince.,/ˈprɪnsɛs/,PRIN-ses,"From Old French ""princesse,"" feminine of ""prince,"" from Latin ""princeps.""",Claude,"Think ""prince"" + ""ess"" (female suffix) = female prince.",The young ___ waved to the crowds from the castle balcony.,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,5,3,6,20,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
principality,A state ruled by a prince; the position or authority of a prince.,/ˌprɪnsɪˈpæləti/,prin-sih-PAL-ih-tee,"From Latin ""principalitas,"" from ""principalis"" (first in importance).",Claude,"Think ""principal"" + ""ity"" = territory where prince is principal ruler.",Monaco is a small ___ on the French Mediterranean coast.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,6,4,24,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
prion,An infectious protein particle that causes degenerative brain diseases.,/ˈpriːɒn/,PREE-on,"From ""proteinaceous infectious particle,"" coined by Stanley Prusiner.",Claude,"Think ""PRI"" (protein) + ""ON"" = protein particle that's turned on.",Mad cow disease is caused by ___ proteins that fold incorrectly.,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,8,8,2,3,21,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
prior,"Existing before in time, order, or importance; a monastic officer.",/ˈpraɪər/,PRY-ur,"From Latin ""prior,"" comparative of ""prae"" (before).",Claude,"Think ""pre"" + ""ior"" = more before/earlier than others.","Due to her ___ experience, she was chosen to lead the project.",Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,8,5,2,4,19,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
prioress,A woman who is head of a religious house or order.,/ˈpraɪərɛs/,PRY-ur-es,"From ""prior"" + suffix ""-ess"" (female), from Latin ""prior.""",Claude,"Think ""prior"" + ""ess"" (female) = female prior/head of convent.",The ___ led the nuns in their daily prayers and duties.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,6,8,3,4,21,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
priority,The fact of being regarded as more important; precedence.,/praɪˈɒrəti/,pry-OR-ih-tee,"From Latin ""prioritas,"" from ""prior"" (former, earlier).",Claude,"Think ""prior"" + ""ity"" = the quality of being prior/first.",Student safety is the school's top ___.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,6,8,4,4,22,,,2025-01-01,2025-01-01,Batch 139 processing,pending,139
