word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
brands,Particular makes of products; marks made with hot iron,/brændz/,"From brand + -s, where brand comes from Old English brand meaning 'fire'","BRANDS: Basic Recognition - Always Notable company marks, Distinguishing products, Something everyone recognizes",The store carried several popular _____ of athletic shoes.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
brandywine,A variety of grape; a type of brandy; a creek name,/ˈbrændiˌwaɪn/,"From brandy + wine, referring to a distilled wine product","BRANDYWINE: Beautiful Rich - And smooth alcohol, Never basic drink, Distilled from grapes, Year-long aging process, Wine processed Into stronger drink, Never watered down, Everyone knows this spirit",The _____ grapes produced an excellent vintage that year.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,3.0,False
brass,An alloy of copper and zinc; bold confidence,/bræs/,"From Old English bræs, from Proto-Germanic brasom","BRASS: Basic Really - Alloy metal, Strong and durable, Something everyone knows",The musician polished his _____ trumpet before the concert.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
bravado,A bold manner intended to impress; swaggering display of courage,/brəˈvɑdoʊ/,"From Spanish bravada, from bravo meaning 'brave' or 'wild'","BRAVADO: Bold Really - Always showing off courage, Very obvious Acting, Displaying false confidence, Obviously showing off",His _____ masked his deep insecurity about the upcoming challenge.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
brave,Ready to face danger; showing courage,/breɪv/,"From French brave, from Italian bravo meaning 'wild, savage'","BRAVE: Bold Really - Always Very courageous, Everyone admires courage",The _____ firefighter rescued the family from the burning building.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
brayed,Made the loud harsh cry of a donkey; spoke loudly and harshly,/breɪd/,"From bray + -ed, where bray comes from Old French braier meaning 'to cry'","BRAYED: Bold Really - Annoying donkey sound, Year-long memory of harsh sound, Everyone knows donkey sound, Definitely loud noise",The donkey _____ loudly as the farmer approached with hay.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
bread,A baked food made from flour and water; basic sustenance,/brɛd/,"From Old English bread meaning 'morsel, bit of food'","BREAD: Basic Really - Essential food, Always Delicious staple",She baked fresh _____ for the family dinner.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
breadmaking,The process of baking bread; the art of bread production,/ˈbrɛdˌmeɪkɪŋ/,"From bread + making, referring to the process of creating bread","BREADMAKING: Basic Really - Essential food cooking, Always Delicious Making food, And Kitchen activity, Including flour, Never Getting tired of fresh bread",Her _____ skills improved with years of practice in the kitchen.,Claude,Claude,Claude,,Intermediate,1.7,4.0,1.3,3.0,False
breathe,To take air into the lungs and expel it; to live,/brið/,"From Old English brēathen, from brǣth meaning 'breath'","BREATHE: Basic Really - Essential function, Always Taking air, Having life, Everyone needs oxygen",Take a moment to _____ deeply and relax your mind.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
breathtaking,Extremely impressive or beautiful; astonishing,/ˈbrɛθˌteɪkɪŋ/,"From breath + taking, literally meaning 'taking one's breath away'","BREATHTAKING: Beautiful Really - Everyone stunned And speechless, Taking everyone's breath away, Having Amazing visual impact, Taking people's breath away, Awe-inspiring, Keeping everyone amazed, Including stunning views, Never Getting old, Great beauty",The _____ view from the mountain summit left everyone speechless.,Claude,Claude,Claude,,Intermediate,1.9,4.0,1.3,3.0,False
