word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
program,"A set of related measures or activities with a particular long-term aim; a series of coded instructions for a computer; a planned series of activities or performances. In education, a program refers to a structured course of study or curriculum designed to achieve specific learning objectives. Programs can range from simple software applications that execute basic commands to complex educational frameworks that guide students through comprehensive learning experiences over months or years.",/ˈproʊɡræm/,PROH-gram,"From Greek ""programma,"" meaning ""a written public notice,"" from ""pro"" (forth) + ""graphein"" (to write).",Claude,"Think ""pro"" (forward) + ""gram"" (write) = writing out plans forward in advance.",The school's new mathematics ___ helped students improve their problem-solving skills.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,2,3,4,17,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
progression,"The process of developing or moving gradually towards a more advanced state; a succession of numbers or musical chords following a particular pattern. In mathematics, a progression is a sequence where each term is derived from the previous one according to a specific rule. In music, chord progressions create harmonic movement that guides the emotional flow of a composition.",/prəˈɡrɛʃən/,pruh-GRESH-un,"From Latin ""progressio,"" from ""progredi"" meaning ""to go forward,"" from ""pro"" (forward) + ""gradi"" (to step).",Claude,"Think ""pro"" (forward) + ""gression"" (stepping) = stepping forward in sequence.",The student showed steady ___ in reading comprehension throughout the semester.,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,6,5,4,4,19,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
project,"An individual or collaborative enterprise carefully planned to achieve a particular aim; to extend outward or forward; to present an image or idea to others. Educational projects engage students in hands-on learning experiences that develop critical thinking, research, and presentation skills while exploring real-world applications of academic concepts.",/ˈprɑːdʒɛkt/,PRAH-jekt,"From Latin ""projectus,"" from ""proicere"" meaning ""to throw forth,"" from ""pro"" (forth) + ""iacere"" (to throw).",Claude,"Think ""pro"" (forward) + ""ject"" (throw) = throwing ideas forward into reality.",The science fair ___ required students to design and conduct their own experiments.,Claude,2021; 2025,2021_Printable_Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,Claude,Claude,6,2,3,4,15,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
projects,"Plural of project; multiple individual or collaborative enterprises planned to achieve particular aims; third person singular of the verb project, meaning to extend outward or present an image. In education, projects serve as comprehensive assessment tools that allow students to demonstrate mastery across multiple subjects and skills.",/ˈprɑːdʒɛkts/,PRAH-jekts,"Plural form of ""project,"" from Latin ""projectus.""",Claude,"Simply ""project"" with an ""s"" added for multiple planned enterprises.",The teacher assigned three different ___ to help students explore various aspects of ancient civilizations.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,6,8,3,4,21,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
proletarian,"Relating to the proletariat, the working class who sell their labor for wages; a member of the working class. In Marxist theory, proletarians are distinguished from the bourgeoisie (capital owners) as they possess only their labor power. The term encompasses industrial workers, service employees, and others who work for wages rather than owning productive property.",/ˌproʊlɪˈtɛəriən/,proh-lih-TAIR-ee-un,"From Latin ""proletarius,"" meaning ""producing offspring,"" referring to citizens whose only contribution to the state was having children.",Claude,"Think ""pro"" (for) + ""letarian"" (people) = for the working people.",The novel depicted the struggles of ___ families during the Industrial Revolution.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
proliferate,"To increase rapidly in numbers; to multiply or spread abundantly; to reproduce by forming new parts or offspring. In biology, proliferation refers to rapid cell division and growth. In general usage, it describes the fast expansion of ideas, technologies, or populations across various environments or contexts.",/prəˈlɪfəreɪt/,pruh-LIF-uh-rayt,"From Latin ""proliferare,"" from ""proles"" (offspring) + ""ferre"" (to bear or carry).",Claude,"Think ""pro"" (much) + ""liferate"" (life) = producing much life/growth.",Social media platforms began to ___ rapidly in the early 2000s.,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
prolix,"Using too many words; tediously lengthy in speech or writing; characterized by unnecessary verbosity. A prolix speaker or writer tends to elaborate excessively, often obscuring their main points with excessive detail. This trait is generally considered a flaw in effective communication, as brevity and clarity are typically more persuasive and engaging.",/ˈproʊlɪks/,PROH-liks,"From Latin ""prolixus,"" meaning ""extended"" or ""poured forth,"" from ""pro"" (forth) + ""liquere"" (to flow).",Claude,"Think ""pro"" (much) + ""lix"" (liquid/flowing) = words flowing too much.",The professor's ___ lectures often lost students' attention despite containing valuable information.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,2,4,22,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
prolusory,"Serving as a prelude or introduction; preliminary in nature; acting as a trial or preface to something more substantial. This term is often used in academic and literary contexts to describe introductory remarks, preliminary studies, or opening movements that prepare the audience for the main content that follows.",/prəˈluːsəri/,pruh-LOO-suh-ree,"From Latin ""prolusio,"" meaning ""a prelude"" or ""preliminary exercise,"" from ""pro"" (before) + ""ludere"" (to play).",Claude,"Think ""pro"" (before) + ""lusory"" (play) = playing before the main performance.",The composer wrote several ___ pieces before beginning work on his masterpiece symphony.,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
promethean,"Relating to Prometheus; characterized by creative daring and originality; boldly defiant of authority; involving great creativity or innovation, often at personal risk. Named after the Greek Titan who stole fire from the gods to give to humanity, this term describes individuals who challenge established norms to bring knowledge or progress to others.",/prəˈmiːθiən/,pruh-MEE-thee-un,"From Prometheus, the Greek Titan who stole fire from the gods, from Greek ""promethes"" meaning ""forethinking.""",Claude,"Think of Prometheus bringing fire (knowledge) to humans = bold, creative innovation.",The scientist's ___ research challenged conventional theories and opened new fields of study.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,4,4,22,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
prominent,"Important and well-known; projecting out from a surface; easily noticed or conspicuous. In social contexts, prominent individuals are recognized for their achievements, influence, or status. In physical contexts, prominent features are those that stand out visually, such as a prominent nose or a prominent building on a skyline.",/ˈprɑːmɪnənt/,PRAH-mih-nunt,"From Latin ""prominens,"" from ""prominere"" meaning ""to jut out,"" from ""pro"" (forward) + ""minere"" (to project).",Claude,"Think ""pro"" (forward) + ""minent"" (sticking out) = sticking out forward/notable.",The ___ scientist received international recognition for her groundbreaking research.,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,5,5,4,20,,,2025-01-01,2025-01-01,Batch 140 processing,pending,140
