word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
dwindled,"Past tense of dwindle; gradually decreased in size, amount, or strength; became smaller or fewer over time. Indicates a steady decline or reduction.",verb,DWIN-duhld (emphasis on first syllable),"From ""dwindle"" (frequentative of ""dwine"" meaning ""to waste away"") + ""-ed"" suffix. About gradual decrease.",English,The crowd _____ as the evening grew later and people went home.,"Remember ""DWIN-dled"" - things ""dwindle"" down until they become small, like a ""twin"" that shrinks.",10,4,3,3,,Claude,Claude,Claude,Claude,Claude,One Bee; Two Bee,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,False,
dynamite,A high explosive made from nitroglycerin; something or someone having a powerful effect; excellent or outstanding.,"noun, adjective",DIE-nuh-mite (emphasis on first syllable),"From Greek ""dynamis"" meaning ""power"" + suffix ""-ite."" Coined by Alfred Nobel for his explosive invention.",Greek,The construction crew used _____ to blast through the solid rock.,"Think ""DIE-na-mite"" - explosive with so much ""dynamic"" power it can make rocks ""die"" and break apart.",10,4,2,3,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
dynasty,A sequence of rulers from the same family; a powerful group or family that maintains control for generations.,noun,DIE-nuh-stee (emphasis on first syllable),"From Greek ""dynasteia"" meaning ""lordship, dominion"" (from dynastes ""ruler""). Political terminology.",Greek,The Ming _____ ruled China for nearly three centuries.,"Remember ""DIE-nasty"" - when a ruling family ""dies,"" the dynasty ends, passing power through generations.",10,4,1,3,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
dysgraphia,"A learning disability that affects writing abilities; difficulty with spelling, handwriting, and organizing thoughts on paper.",noun,dis-GRAF-ee-ah (emphasis on second syllable),"From Greek ""dys-"" (bad) + ""graphia"" (writing). Medical terminology for writing disorders.",Greek,The student's _____ made it challenging to complete written assignments despite good verbal skills.,"Think ""dys-GRAPH-ia"" - ""dys"" (bad) ""graph"" (writing), difficulty with writing and spelling.",8,4,4,6,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
dyspeptic,"Suffering from or relating to indigestion; bad-tempered or irritable, especially due to stomach problems.",adjective,dis-PEP-tik (emphasis on second syllable),"From Greek ""dyspeptos"" meaning ""hard to digest"" (dys- ""bad"" + peptos ""digested""). Medical terminology.",Greek,His _____ mood was probably due to eating too much spicy food.,"Remember ""dys-PEP-tic"" - ""dys"" (bad) ""peptic"" (digestion), causing irritable mood from stomach troubles.",10,4,4,6,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
dysphasia,Difficulty with speech and language caused by brain damage; partial loss of ability to understand or express speech.,noun,dis-FAY-zhuh (emphasis on second syllable),"From Greek ""dys-"" (bad) + ""phasis"" (speech). Medical terminology for speech disorders.",Greek,"After the stroke, she experienced _____ and needed speech therapy.","Think ""dys-PHASIA"" - ""dys"" (bad) speech ""phases,"" difficulty with language and speaking.",8,4,4,6,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
dysphasiae,Plural of dysphasia; multiple cases or types of speech and language difficulties caused by brain damage.,noun,dis-FAY-zhee-ee (emphasis on second syllable),"From ""dysphasia"" + Latin plural ""-ae."" Medical terminology for multiple speech disorders.",Greek with Latin plural,The neurologist studied various _____ to understand different speech disorder patterns.,"Remember ""dys-PHAS-iae"" - plural of dysphasia, multiple speech difficulties with the Latin ""-ae"" ending.",8,4,3,6,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
dysrhythmia,An abnormal heart rhythm; irregular heartbeat that deviates from the normal pattern of cardiac contractions.,noun,dis-RITH-mee-ah (emphasis on second syllable),"From Greek ""dys-"" (bad) + ""rhythmos"" (rhythm). Medical terminology for heart rhythm disorders.",Greek,The cardiologist detected a _____ during the patient's routine examination.,"Think ""dys-RHYTHM-ia"" - ""dys"" (bad) ""rhythm,"" when the heart doesn't beat in proper rhythm.",9,2,4,8,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
dystopia,"An imagined society where everything is unpleasant or bad; the opposite of utopia, characterized by suffering and oppression.",noun,dis-TOH-pee-ah (emphasis on second syllable),"From Greek ""dys-"" (bad) + ""topos"" (place). Literary and political terminology.",Greek,The novel depicted a _____ where individual freedom had been completely eliminated.,"Remember ""dys-TOPIA"" - ""dys"" (bad) place, the opposite of ""utopia,"" a terrible society.",10,4,4,6,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
dystopiae,"Plural of dystopia; multiple imagined societies characterized by suffering, oppression, and unpleasant conditions.",noun,dis-TOH-pee-ee (emphasis on second syllable),"From ""dystopia"" + Latin plural ""-ae."" Literary terminology for multiple bad societies.",Greek with Latin plural,Science fiction literature often explores various _____ to warn about potential futures.,"Think ""dys-TOP-iae"" - plural of dystopia, multiple bad ""topias"" (places) with Latin ""-ae"" ending.",10,4,3,6,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
déjà,"Part of ""déjà vu,"" meaning ""already"" in French; the feeling of having experienced something before.",adverb,day-ZHAH (emphasis on second syllable),"From French ""déjà"" meaning ""already."" Part of psychological terminology.",French,She experienced a strong sense of _____ vu when visiting the old house.,"Remember ""day-ZHAH"" - French word meaning ""already,"" like you've ""already"" been in this ""day.""",10,7,2,3,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
démodé,Out of fashion; no longer fashionable or stylish; outdated or passé.,adjective,day-moh-DAY (emphasis on third syllable),"From French ""démodé"" meaning ""out of fashion"" (dé- ""un-"" + mode ""fashion""). Fashion terminology.",French,Her grandmother's clothing style was considered _____ by modern standards.,"Think ""day-mo-DAY"" - fashion from ""yesterday"" that's no longer the ""mode"" (style) of today.",10,7,2,3,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
déné,"Referring to the Dené people, indigenous peoples of northern Canada; also called Athapaskan or Athabascan peoples.","noun, adjective",day-NAY (emphasis on second syllable),"From Dené language meaning ""the people."" Indigenous terminology.",Dené (Indigenous North American),The _____ communities have lived in the northern territories for thousands of years.,"Remember ""day-NAY"" - the indigenous people who say ""nay"" to being called by other names, preferring ""Dené.""",10,7,2,3,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
eagerly,"With keen interest or enthusiasm; in an eager manner, showing excitement or impatience for something.",adverb,EE-ger-lee (emphasis on first syllable),"From ""eager"" (from Old French ""aigre"" meaning ""keen"") + ""-ly"" suffix.",Old French,The children _____ awaited the arrival of the ice cream truck.,"Remember ""EAGER-ly"" - doing things with an ""eager"" attitude, full of enthusiasm and excitement.",10,9,3,3,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
eagle,A large bird of prey with keen eyesight and powerful flight; a symbol of strength and freedom in many cultures.,noun,EE-gul (emphasis on first syllable),"From Old English ""earn"" related to Germanic words for eagle. Bird terminology.",Old English,The bald _____ soared majestically above the mountain lake.,"Simple ""EAGLE"" - a powerful bird with ""eager"" eyes that can see prey from great distances.",10,9,2,3,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
early,Before the usual or expected time; happening or done before others; in the first part of a period.,"adjective, adverb",UR-lee (emphasis on first syllable),"From Old English ""ærlice"" (from ""ær"" meaning ""before"" + ""-lice"" suffix).",Old English,She always arrived _____ to meetings to make a good impression.,"Remember ""EAR-ly"" - happening before your ""ear"" expects to hear the alarm clock.",10,9,3,3,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
earmark,To designate funds for a particular purpose; a distinctive mark on an animal's ear; to set aside for a specific use.,"verb, noun",EER-mark (emphasis on first syllable),"From ""ear"" + ""mark."" Originally about marking animal ears, later extended to designating funds.",English,The government decided to _____ the funds specifically for education improvements.,"Think ""EAR-mark"" - like putting a ""mark"" on an animal's ""ear,"" you mark money for specific purposes.",10,6,2,3,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
