word,pronunciation,definition,etymology,etymology_source,example_sentence,memory_tip,difficulty_score,phonetic_transparency,word_frequency,morphological_complexity,etymology_complexity,sources,source_difficulty
weltschmerz,/weltschmerz/,Educational definition for weltschmerz,Etymology for weltschmerz,Claude,Example sentence with _____ placeholder.,Memory tip for weltschmerz,5,5,5,5,5,Various years,Various levels
wensleydale,/wensleydale/,Educational definition for wensleydale,Etymology for wensleydale,Claude,Example sentence with _____ placeholder.,Memory tip for wensleydale,5,5,5,5,5,Various years,Various levels
went,/went/,Educational definition for went,Etymology for went,Claude,Example sentence with _____ placeholder.,Memory tip for went,5,5,5,5,5,Various years,Various levels
wentletrap,/wentletrap/,Educational definition for wentletrap,Etymology for wentletrap,Claude,Example sentence with _____ placeholder.,Memory tip for wentletrap,5,5,5,5,5,Various years,Various levels
werf,/werf/,Educational definition for werf,Etymology for werf,Claude,Example sentence with _____ placeholder.,Memory tip for werf,5,5,5,5,5,Various years,Various levels
western,/western/,Educational definition for western,Etymology for western,Claude,Example sentence with _____ placeholder.,Memory tip for western,5,5,5,5,5,Various years,Various levels
whakapapa,/whakapapa/,Educational definition for whakapapa,Etymology for whakapapa,Claude,Example sentence with _____ placeholder.,Memory tip for whakapapa,5,5,5,5,5,Various years,Various levels
whales,/whales/,Educational definition for whales,Etymology for whales,Claude,Example sentence with _____ placeholder.,Memory tip for whales,5,5,5,5,5,Various years,Various levels
wharf,/wharf/,Educational definition for wharf,Etymology for wharf,Claude,Example sentence with _____ placeholder.,Memory tip for wharf,5,5,5,5,5,Various years,Various levels
whee,/whee/,Educational definition for whee,Etymology for whee,Claude,Example sentence with _____ placeholder.,Memory tip for whee,5,5,5,5,5,Various years,Various levels
wheedle,/wheedle/,Educational definition for wheedle,Etymology for wheedle,Claude,Example sentence with _____ placeholder.,Memory tip for wheedle,5,5,5,5,5,Various years,Various levels
wheedling,/wheedling/,Educational definition for wheedling,Etymology for wheedling,Claude,Example sentence with _____ placeholder.,Memory tip for wheedling,5,5,5,5,5,Various years,Various levels
wheezy,/wheezy/,Educational definition for wheezy,Etymology for wheezy,Claude,Example sentence with _____ placeholder.,Memory tip for wheezy,5,5,5,5,5,Various years,Various levels
whelp,/whelp/,Educational definition for whelp,Etymology for whelp,Claude,Example sentence with _____ placeholder.,Memory tip for whelp,5,5,5,5,5,Various years,Various levels
whenever,/whenever/,Educational definition for whenever,Etymology for whenever,Claude,Example sentence with _____ placeholder.,Memory tip for whenever,5,5,5,5,5,Various years,Various levels
whereas,/whereas/,Educational definition for whereas,Etymology for whereas,Claude,Example sentence with _____ placeholder.,Memory tip for whereas,5,5,5,5,5,Various years,Various levels
wherewithal,/wherewithal/,Educational definition for wherewithal,Etymology for wherewithal,Claude,Example sentence with _____ placeholder.,Memory tip for wherewithal,5,5,5,5,5,Various years,Various levels
whet,/whet/,Educational definition for whet,Etymology for whet,Claude,Example sentence with _____ placeholder.,Memory tip for whet,5,5,5,5,5,Various years,Various levels
whether,/whether/,Educational definition for whether,Etymology for whether,Claude,Example sentence with _____ placeholder.,Memory tip for whether,5,5,5,5,5,Various years,Various levels
whey,/whey/,Educational definition for whey,Etymology for whey,Claude,Example sentence with _____ placeholder.,Memory tip for whey,5,5,5,5,5,Various years,Various levels
whidah,/whidah/,Educational definition for whidah,Etymology for whidah,Claude,Example sentence with _____ placeholder.,Memory tip for whidah,5,5,5,5,5,Various years,Various levels
whiff,/whiff/,Educational definition for whiff,Etymology for whiff,Claude,Example sentence with _____ placeholder.,Memory tip for whiff,5,5,5,5,5,Various years,Various levels
while,/while/,Educational definition for while,Etymology for while,Claude,Example sentence with _____ placeholder.,Memory tip for while,5,5,5,5,5,Various years,Various levels
whimsical,/whimsical/,Educational definition for whimsical,Etymology for whimsical,Claude,Example sentence with _____ placeholder.,Memory tip for whimsical,5,5,5,5,5,Various years,Various levels
whine,/whine/,Educational definition for whine,Etymology for whine,Claude,Example sentence with _____ placeholder.,Memory tip for whine,5,5,5,5,5,Various years,Various levels
whipped,/whipped/,Educational definition for whipped,Etymology for whipped,Claude,Example sentence with _____ placeholder.,Memory tip for whipped,5,5,5,5,5,Various years,Various levels
whippoorwill,/whippoorwill/,Educational definition for whippoorwill,Etymology for whippoorwill,Claude,Example sentence with _____ placeholder.,Memory tip for whippoorwill,5,5,5,5,5,Various years,Various levels
whirlybird,/whirlybird/,Educational definition for whirlybird,Etymology for whirlybird,Claude,Example sentence with _____ placeholder.,Memory tip for whirlybird,5,5,5,5,5,Various years,Various levels
whisk,/whisk/,Educational definition for whisk,Etymology for whisk,Claude,Example sentence with _____ placeholder.,Memory tip for whisk,5,5,5,5,5,Various years,Various levels
whiskers,/whiskers/,Educational definition for whiskers,Etymology for whiskers,Claude,Example sentence with _____ placeholder.,Memory tip for whiskers,5,5,5,5,5,Various years,Various levels
whisper,/whisper/,Educational definition for whisper,Etymology for whisper,Claude,Example sentence with _____ placeholder.,Memory tip for whisper,5,5,5,5,5,Various years,Various levels
white,/white/,Educational definition for white,Etymology for white,Claude,Example sentence with _____ placeholder.,Memory tip for white,5,5,5,5,5,Various years,Various levels
whitefish,/whitefish/,Educational definition for whitefish,Etymology for whitefish,Claude,Example sentence with _____ placeholder.,Memory tip for whitefish,5,5,5,5,5,Various years,Various levels
whittle,/whittle/,Educational definition for whittle,Etymology for whittle,Claude,Example sentence with _____ placeholder.,Memory tip for whittle,5,5,5,5,5,Various years,Various levels
whizzed,/whizzed/,Educational definition for whizzed,Etymology for whizzed,Claude,Example sentence with _____ placeholder.,Memory tip for whizzed,5,5,5,5,5,Various years,Various levels
whole,/whole/,Educational definition for whole,Etymology for whole,Claude,Example sentence with _____ placeholder.,Memory tip for whole,5,5,5,5,5,Various years,Various levels
wholehearted,/wholehearted/,Educational definition for wholehearted,Etymology for wholehearted,Claude,Example sentence with _____ placeholder.,Memory tip for wholehearted,5,5,5,5,5,Various years,Various levels
whose,/whose/,Educational definition for whose,Etymology for whose,Claude,Example sentence with _____ placeholder.,Memory tip for whose,5,5,5,5,5,Various years,Various levels
whydah,/whydah/,Educational definition for whydah,Etymology for whydah,Claude,Example sentence with _____ placeholder.,Memory tip for whydah,5,5,5,5,5,Various years,Various levels
wickiup,/wickiup/,Educational definition for wickiup,Etymology for wickiup,Claude,Example sentence with _____ placeholder.,Memory tip for wickiup,5,5,5,5,5,Various years,Various levels
widdershins,/widdershins/,Educational definition for widdershins,Etymology for widdershins,Claude,Example sentence with _____ placeholder.,Memory tip for widdershins,5,5,5,5,5,Various years,Various levels
wide,/wide/,Educational definition for wide,Etymology for wide,Claude,Example sentence with _____ placeholder.,Memory tip for wide,5,5,5,5,5,Various years,Various levels
widely,/widely/,Educational definition for widely,Etymology for widely,Claude,Example sentence with _____ placeholder.,Memory tip for widely,5,5,5,5,5,Various years,Various levels
