word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
rasorial,"Relating to or characteristic of birds that scratch the ground for food; adapted for scratching or scraping. Rasorial birds include chickens, turkeys, and other ground-dwelling species that use their feet to uncover seeds, insects, and other food items from soil and leaf litter.",/rəˈsɔːriəl/,ruh-SOR-ee-ul,"From Latin ""rasor,"" meaning ""scraper,"" from ""radere"" (to scrape) + suffix ""-ial.""",Claude,"Think ""razor"" + ""ial"" = relating to scraping like a razor (birds scraping ground).",The ___ behavior of chickens involves scratching the dirt to find hidden seeds.,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
raspberry,"A red or black edible berry composed of many small drupelets; the plant that bears this fruit; a rude sound made by vibrating the lips and tongue. Raspberries are rich in vitamins and antioxidants, while the slang meaning refers to a sound expressing derision or contempt.",/ˈræzbəri/,RAZ-ber-ee,"From earlier ""raspis berry,"" possibly from ""rasp"" (rough texture) + ""berry.""",Claude,"Think ""rasp"" (rough) + ""berry"" = a rough-textured berry.",The fresh ___ tart was topped with whipped cream and mint leaves.,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Claude,Claude,4,5,4,3,16,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
rastafarian,"A member of a Jamaican religious movement that regards Haile Selassie I as divine; relating to Rastafarianism. This movement emerged in the 1930s, incorporating elements of Christianity, Pan-Africanism, and Ethiopian traditions, with distinctive practices including dreadlocks and cannabis use.",/ˌræstəˈfɛəriən/,ras-tuh-FAIR-ee-un,"From ""Ras Tafari,"" the pre-coronation name of Ethiopian Emperor Haile Selassie I.",Claude,"Think ""Ras Tafari"" (Haile Selassie's name) + ""an"" = follower of Ras Tafari.",The ___ community gathered to celebrate Ethiopian Orthodox holidays.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,4,3,23,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
rathskeller,"A restaurant or tavern located in a basement, especially one serving German food and beer; originally referring to the basement of a German city hall used as a restaurant. These establishments became popular in American cities with German immigrant populations.",/ˈrɑːtskɛlər/,RAHTS-kel-ur,"From German ""Ratskeller,"" from ""Rat"" (council) + ""Keller"" (cellar).",Claude,"Think ""rats"" + ""keller"" (cellar) = underground restaurant (though not actually about rats).",The historic ___ served authentic German sausages and locally brewed beer.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,4,8,5,4,21,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
rationale,"A set of reasons or logical basis for a course of action or belief; the fundamental reason or explanation for something. Rationale provides the underlying logic that justifies decisions, policies, or actions, helping others understand the reasoning process.",/ˌræʃəˈnæl/,rash-uh-NAL,"From Latin ""rationalis,"" meaning ""of reason,"" from ""ratio"" (reason, calculation).",Claude,"Think ""rational"" + ""e"" = the rational explanation for something.",The committee explained the ___ behind their decision to change the policy.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,4,8,4,4,20,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
rats,"Plural of rat; rodents with long tails, pointed snouts, and gnawing teeth; an exclamation of annoyance or frustration. Rats are intelligent, adaptable animals that have lived alongside humans throughout history, sometimes as pests and sometimes as valued laboratory animals.",/ræts/,RATS,"Plural of ""rat,"" from Old English ""ræt,"" of uncertain origin.",Claude,Think of multiple small rodents = rats.,The barn owl helped control the population of ___ in the grain storage area.,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,2,2,4,14,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
rattled,"Past tense of rattle; shaken or disturbed; made nervous or upset; produced a rapid succession of short, sharp sounds. When someone is rattled, they have lost their composure or confidence, often due to unexpected events or pressure.",/ˈrætəld/,RAT-uld,"From ""rattle"" + past tense ""-ed,"" from Middle English ""ratelen"" (to make noise).",Claude,"Think ""rattle"" + ""ed"" = was shaken up like something in a rattle.",The unexpected question ___ the normally confident speaker.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,4,5,4,4,17,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
raucous,"Making or characterized by a harsh, disturbing noise; boisterous and disorderly. Raucous describes sounds that are loud, rough, and often unpleasant, or behavior that is rowdy and lacks restraint or decorum.",/ˈrɔːkəs/,RAW-kus,"From Latin ""raucus,"" meaning ""hoarse"" or ""harsh-sounding.""",Claude,"Think ""raw"" + ""cous"" = raw, harsh sounds.",The ___ laughter from the comedy club could be heard down the street.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,4,5,3,4,16,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
raven,"A large black bird related to the crow, known for intelligence and adaptability; having a glossy black color; to devour greedily. Ravens appear in mythology and literature as symbols of wisdom, death, or prophecy, most famously in Edgar Allan Poe's poem.",/ˈreɪvən/,RAY-vun,"From Old English ""hræfn,"" related to Old Norse ""hrafn.""",Claude,"Think of the large black bird that says ""nevermore"" in Poe's poem.",The intelligent ___ learned to mimic human speech and solve simple puzzles.,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Claude,Claude,6,2,2,4,14,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
ravigote,"A cold French sauce made with herbs, capers, and vinegar; typically served with cold meats or fish. Ravigote sauce contains ingredients like tarragon, chervil, parsley, and shallots, creating a tangy, fresh flavor that complements rich dishes.",/ˈrævɪɡoʊt/,RAV-ih-goht,"From French ""ravigote,"" from ""ravigoter"" meaning ""to revive"" or ""to invigorate.""",Claude,"Think ""revive"" + ""goat"" = a sauce that revives the flavor of food.",The chef served the cold salmon with a traditional ___ sauce.,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Claude,Claude,6,8,3,4,21,,,2025-01-01,2025-01-01,Batch 145 processing,pending,145
